position_group,mean_eff,t_stat,p_value,n
Defenders,-6.456086036147705e-13,-5.000495305501626e-11,0.9999999999601062,2250
Forwards,-0.0031669203272169373,-0.1379947848406102,0.8902747026306509,922
Goalkeepers,-7.026403117977492e-14,-2.272179130356692e-12,0.9999999999981879,526
Midfielders,-0.0025351841415638785,-0.21218209369932067,0.8319794336633156,2992
