position_group,n,mean_eff,median_eff,std_eff,avg_wage_eur,overpaid_rate,underpaid_rate,fair_rate
Defenders,2250,-6.456103429641757e-13,0.021745878873680603,0.6124174325823174,2479422.285777778,0.188,0.18488888888888888,0.6271111111111111
Forwards,922,-0.0031669203272169377,0.0450742519161169,0.6968509949797456,3478484.2895878525,0.20715835140997832,0.20281995661605207,0.5900216919739696
Goalkeepers,526,-7.026265923117035e-14,0.00838358470879625,0.7092239090936449,2267469.3174904943,0.21673003802281368,0.22813688212927757,0.5551330798479087
Midfielders,2992,-0.0025351841415638815,0.042590204048154,0.6535541453686656,2577954.6423796793,0.20454545454545456,0.19552139037433156,0.5999331550802139
