position_group,overpaid_rate_gt_0_5,underpaid_rate_lt_-0_5,severe_overpaid_gt_1_0,severe_underpaid_lt_-1_0,avg_overpaid_score,avg_underpaid_score,net_overpaid_pressure
Defenders,0.188,0.18488888888888888,0.04,0.05688888888888889,0.8401407079151361,-0.9084258951540328,0.00311111111111112
Forwards,0.20715835140997832,0.20281995661605207,0.05856832971800434,0.07809110629067245,0.8858085073377324,-1.0047890632642038,0.0043383947939262535
Goalkeepers,0.21673003802281368,0.22813688212927757,0.07604562737642585,0.07984790874524715,0.9264458943345231,-0.9351651528256395,-0.011406844106463893
Midfielders,0.20454545454545456,0.19552139037433156,0.046122994652406414,0.06851604278074866,0.8388715093909094,-0.9550008210200788,0.009024064171123003
