Player,Team,Comp,Season,position_group,Age,Annual_Wages_EUR,efficiency_score,panel_efficiency,eff_difference
Arthur Theate,Rennes,Ligue 1,2023-2024,Defenders,23,3640000,1.6561374814894538,0.202276562383761,-1.4538609191056928
Arthur Theate,Eintracht Frankfurt,Bundesliga,2024-2025,Defenders,24,3640000,1.1014442878290431,-0.3524166312766497,-1.4538609191056928
Jordan Teze,Monaco,Ligue 1,2024-2025,Defenders,24,1950000,0.0097805949233311,-0.2549426456085921,-0.2647232405319232
Kenny Tete,Fulham,Premier League,2022-2023,Defenders,26,3022165,0.1072625980646382,0.0764771253436761,-0.030785472720962
Kenny Tete,Fulham,Premier League,2023-2024,Defenders,27,3077584,0.1736745945915068,0.1428891218705447,-0.030785472720962
Kenny Tete,Fulham,Premier League,2024-2025,Defenders,28,3080342,-0.1885807744932588,-0.2193662472142208,-0.030785472720962
Filippo Terracciano,Milan,Serie A,2024-2025,Defenders,21,1480000,-0.0089979131830677,0.3503614789237677,0.3593593921068354
Nahuel Tenaglia,Alavés,La Liga,2023-2024,Defenders,27,450000,-0.1467174982953256,0.192322878252349,0.3390403765476746
Nahuel Tenaglia,Alavés,La Liga,2024-2025,Defenders,28,450000,-0.5313632548000236,-0.1923228782523489,0.3390403765476746
Alex Telles,Sevilla,La Liga,2022-2023,Defenders,29,2266624,-0.2217949985682725,-0.0560644229763491,0.1657305755919233
Álvaro Tejero,Espanyol,La Liga,2024-2025,Defenders,28,620000,-0.2465639024498536,0.1280704793221758,0.3746343817720294
Aurélien Tchouaméni,Real Madrid,La Liga,2023-2024,Defenders,23,12500000,0.4857471308905499,0.241860890586943,-0.2438862403036069
Aurélien Tchouaméni,Real Madrid,La Liga,2024-2025,Defenders,24,12500000,0.2321914066350032,-0.0116948336686036,-0.2438862403036069
Enzo Tchato,Montpellier,Ligue 1,2022-2023,Defenders,19,90000,-0.1263278298379244,0.3189802626967176,0.445308092534642
Enzo Tchato,Montpellier,Ligue 1,2023-2024,Defenders,20,120000,-0.2405092365672132,0.2047988559674287,0.445308092534642
Enzo Tchato,Montpellier,Ligue 1,2024-2025,Defenders,21,120000,-0.6065528125103334,-0.1612447199756914,0.445308092534642
Jackson Tchatchoua,Hellas Verona,Serie A,2023-2024,Defenders,21,450000,0.146741404977762,0.2772161413886937,0.1304747364109317
Jackson Tchatchoua,Hellas Verona,Serie A,2024-2025,Defenders,22,450000,-0.3115033716604802,-0.1810286352495484,0.1304747364109317
Charlie Taylor,Burnley,Premier League,2023-2024,Defenders,29,1846551,0.0220919344951653,0.0990339270990938,0.0769419926039285
Charlie Taylor,Southampton,Premier League,2024-2025,Defenders,30,1848205,-0.1759759197030224,-0.0990339270990938,0.0769419926039285
Nuno Tavares,Nottingham Forest,Premier League,2023-2024,Defenders,23,1846551,0.1797622069167452,-0.1074727833330424,-0.2872349902497876
Nuno Tavares,Lazio,Serie A,2024-2025,Defenders,24,3700000,0.631783577028429,0.3445485867786413,-0.2872349902497876
James Tarkowski,Everton,Premier League,2023-2024,Defenders,30,6155169,-0.0746367669836978,-0.0197104326793198,0.0549263343043779
James Tarkowski,Everton,Premier League,2024-2025,Defenders,31,6160685,-0.0352159016250581,0.0197104326793198,0.0549263343043779
Edmond Tapsoba,Leverkusen,Bundesliga,2022-2023,Defenders,23,2260000,0.1033209630340241,-0.3471530742557055,-0.4504740372897296
Edmond Tapsoba,Leverkusen,Bundesliga,2023-2024,Defenders,24,5000000,0.7598990715188432,0.3094250342291135,-0.4504740372897296
Edmond Tapsoba,Leverkusen,Bundesliga,2024-2025,Defenders,25,5000000,0.4882020773163216,0.0377280400265919,-0.4504740372897296
Renato Tapia,Celta Vigo,La Liga,2022-2023,Defenders,27,260000,-1.2983823374473626,-0.7385635220190357,0.5598188154283269
Renato Tapia,Celta Vigo,La Liga,2023-2024,Defenders,28,400000,-0.9697251146908012,-0.4099062992624743,0.5598188154283269
Renato Tapia,Leganés,La Liga,2024-2025,Defenders,29,1460000,0.6679289381945228,1.2277477536228498,0.559818815428327
Adrien Tameze,Torino,Serie A,2023-2024,Defenders,29,1280000,-0.2640229902574447,0.1404336944969397,0.4044566847543844
Adrien Tameze,Torino,Serie A,2024-2025,Defenders,30,1280000,-0.1879460098042997,0.2165106749500847,0.4044566847543844
Jonathan Tah,Leverkusen,Bundesliga,2022-2023,Defenders,26,2830000,-0.0364865853840576,0.2291898478187685,0.2656764332028262
Jonathan Tah,Leverkusen,Bundesliga,2023-2024,Defenders,27,2830000,-0.2968715343142616,-0.0311951011114354,0.2656764332028262
Jonathan Tah,Leverkusen,Bundesliga,2024-2025,Defenders,28,2830000,-0.4636711799101594,-0.1979947467073332,0.2656764332028262
Nicolás Tagliafico,Lyon,Ligue 1,2022-2023,Defenders,29,4550000,0.8064845761817399,0.3079032607282627,-0.4985813154534771
Nicolás Tagliafico,Lyon,Ligue 1,2023-2024,Defenders,30,4550000,0.7336641676739184,0.2350828522204412,-0.4985813154534771
Nicolás Tagliafico,Lyon,Ligue 1,2024-2025,Defenders,31,4550000,0.6101005391761856,0.1115192237227084,-0.4985813154534771
Issiaga Sylla,Montpellier,Ligue 1,2023-2024,Defenders,29,400000,-0.2932941387493475,0.1429998070672571,0.4362939458166046
Issiaga Sylla,Montpellier,Ligue 1,2024-2025,Defenders,30,400000,-0.3753969142471636,0.060897031569441,0.4362939458166046
Abakar Sylla,Strasbourg,Ligue 1,2023-2024,Defenders,20,900000,1.0582685682651274,0.0361390887202155,-1.0221294795449118
Abakar Sylla,Strasbourg,Ligue 1,2024-2025,Defenders,21,900000,0.9859903908246964,-0.0361390887202154,-1.0221294795449118
Niklas Süle,Dortmund,Bundesliga,2022-2023,Defenders,26,18870000,1.5875192850273423,0.457294031614508,-1.1302252534128343
Niklas Süle,Dortmund,Bundesliga,2023-2024,Defenders,27,10000000,0.9376011468935984,-0.1926241065192359,-1.1302252534128343
Niklas Süle,Dortmund,Bundesliga,2024-2025,Defenders,28,10000000,0.8655553283175621,-0.2646699250952722,-1.1302252534128343
Yukinari Sugawara,Southampton,Premier League,2024-2025,Defenders,24,2464274,0.4219607440328001,0.1698590132285033,-0.2521017308042967
Gabriel Suazo,Toulouse,Ligue 1,2023-2024,Defenders,25,600000,0.1624616653464787,0.0234724629069109,-0.1389892024395677
Gabriel Suazo,Toulouse,Ligue 1,2024-2025,Defenders,26,600000,0.0481201894938845,-0.0908690129456832,-0.1389892024395677
Damián Suárez,Getafe,La Liga,2022-2023,Defenders,34,620000,-0.2712269544823424,0.086119601802233,0.3573465562845754
Damián Suárez,Getafe,La Liga,2023-2024,Defenders,35,620000,-0.2365813572109427,0.1207651990736327,0.3573465562845754
Álex Suárez,Las Palmas,La Liga,2023-2024,Defenders,30,130000,-1.6980741150565812,-0.7149757814070883,0.983098333649493
Álex Suárez,Las Palmas,La Liga,2024-2025,Defenders,31,630000,-0.2681225522424046,0.7149757814070883,0.983098333649493
John Stones,Manchester City,Premier League,2022-2023,Defenders,28,15110826,0.4163360611266817,-0.0697501273755754,-0.4860861885022571
John Stones,Manchester City,Premier League,2023-2024,Defenders,29,15387922,0.4167867898037123,-0.0692993986985448,-0.4860861885022571
John Stones,Manchester City,Premier League,2024-2025,Defenders,30,15401712,0.5061517046221411,0.0200655161198839,-0.4860861885022571
Leonidas Stergiou,Stuttgart,Bundesliga,2023-2024,Defenders,21,190000,-0.8286255974349306,0.1378125947052568,0.9664381921401874
Leonidas Stergiou,Stuttgart,Bundesliga,2024-2025,Defenders,22,190000,-1.1042507868454443,-0.1378125947052568,0.9664381921401874
Pascal Stenzel,Stuttgart,Bundesliga,2022-2023,Defenders,26,710000,-0.1074366524020575,0.1541570778244392,0.2615937302264968
Pascal Stenzel,Stuttgart,Bundesliga,2023-2024,Defenders,27,710000,-0.4495552184124722,-0.1879614881859754,0.2615937302264968
Pascal Stenzel,Stuttgart,Bundesliga,2024-2025,Defenders,28,940000,-0.2277893198649607,0.033804410361536,0.2615937302264968
Niklas Stark,Werder Bremen,Bundesliga,2022-2023,Defenders,27,1440000,0.4533567160084946,0.0632590657440357,-0.3900976502644588
Niklas Stark,Werder Bremen,Bundesliga,2023-2024,Defenders,28,1440000,0.5389403490937585,0.1488426988292997,-0.3900976502644588
Niklas Stark,Werder Bremen,Bundesliga,2024-2025,Defenders,29,1440000,0.1779958856911232,-0.2121017645733356,-0.3900976502644588
Carl Starfelt,Celta Vigo,La Liga,2023-2024,Defenders,28,1100000,-0.1445144396792415,0.040057023034941,0.1845714627141825
Carl Starfelt,Celta Vigo,La Liga,2024-2025,Defenders,29,1100000,-0.2246284857491236,-0.040057023034941,0.1845714627141825
Josip Stanišić,Bayern Munich,Bundesliga,2022-2023,Defenders,22,1890000,-0.7882091065876136,-0.6323051227238556,0.1559039838637579
Josip Stanišić,Leverkusen,Bundesliga,2023-2024,Defenders,23,1890000,0.0607384019107843,0.2166423857745422,0.1559039838637579
Josip Stanišić,Bayern Munich,Bundesliga,2024-2025,Defenders,24,6600000,-0.0229041500543161,0.1329998338094418,0.1559039838637579
Kostas Stafylidis,Bochum,Bundesliga,2022-2023,Defenders,28,740000,0.0063816544016717,-0.0793912790186386,-0.0857729334203103
Anton Stach,Hoffenheim,Bundesliga,2024-2025,Defenders,25,1900000,0.0130860221482986,-0.1558670219923103,-0.1689530441406089
Jack Stacey,Bournemouth,Premier League,2022-2023,Defenders,26,1813299,-0.1388418687881767,-0.1171899504912436,0.021651918296933
Leonardo Spinazzola,Roma,Serie A,2023-2024,Defenders,30,5560000,0.3054558155961011,0.1629653938268429,-0.1424904217692581
Leonardo Spinazzola,Napoli,Serie A,2024-2025,Defenders,31,3330000,-0.0907798110566648,-0.2332702328259229,-0.1424904217692581
Djed Spence,Tottenham Hotspur,Premier League,2024-2025,Defenders,23,3080342,-0.2981598819258853,-0.6071874796168872,-0.3090275976910019
Çağlar Söyüncü,Leicester City,Premier League,2022-2023,Defenders,26,2719949,0.1342834255316205,-0.2399477854778036,-0.3742312110094241
Çağlar Söyüncü,Atlético Madrid,La Liga,2023-2024,Defenders,27,5000000,0.6141789964872277,0.2399477854778036,-0.3742312110094241
Borna Sosa,Stuttgart,Bundesliga,2022-2023,Defenders,24,640000,-0.2739605433317322,-0.3295113574560559,-0.0555508141243237
Igor Zubeldia,Real Sociedad,La Liga,2022-2023,Defenders,25,2000000,0.3584530131092638,0.1981310306522138,-0.1603219824570499
Igor Zubeldia,Real Sociedad,La Liga,2023-2024,Defenders,26,2000000,0.1168234057490256,-0.0434985767080243,-0.1603219824570499
Igor Zubeldia,Real Sociedad,La Liga,2024-2025,Defenders,27,2000000,0.0056895285128604,-0.1546324539441895,-0.1603219824570499
Kurt Zouma,West Ham United,Premier League,2022-2023,Defenders,27,7555413,0.7637755772897137,0.1142000988374096,-0.649575478452304
Kurt Zouma,West Ham United,Premier League,2023-2024,Defenders,28,7693961,0.5353753796148943,-0.1142000988374096,-0.649575478452304
Yanis Zouaoui,Le Havre,Ligue 1,2024-2025,Defenders,30,250000,-0.7843619039409067,0.113332194761436,0.8976940987023427
Nadir Zortea,Sassuolo,Serie A,2022-2023,Defenders,23,330000,-0.3491025204259586,0.1201829737600619,0.4692854941860205
Oleksandr Zinchenko,Arsenal,Premier League,2022-2023,Defenders,25,9066495,0.3454327819748872,0.0801202905276707,-0.2653124914472164
Oleksandr Zinchenko,Arsenal,Premier League,2023-2024,Defenders,26,9232753,0.2570666053310955,-0.0082458861161209,-0.2653124914472164
Oleksandr Zinchenko,Arsenal,Premier League,2024-2025,Defenders,27,9241027,0.2183872755743436,-0.0469252158728728,-0.2653124914472164
David Zima,Torino,Serie A,2022-2023,Defenders,21,640000,0.3346611996485951,0.0936566038821107,-0.2410045957664843
David Zima,Torino,Serie A,2023-2024,Defenders,22,640000,0.1473479918843736,-0.0936566038821107,-0.2410045957664843
Nathan Zeze,Nantes,Ligue 1,2023-2024,Defenders,18,130000,-0.2397244101292841,-0.4279451703849091,-0.1882207602556249
Nathan Zeze,Nantes,Ligue 1,2024-2025,Defenders,19,450000,0.616165930640534,0.4279451703849091,-0.1882207602556249
Jordan Zemura,Bournemouth,Premier League,2022-2023,Defenders,22,483546,-0.9438112301413336,-0.4466469624579945,0.497164267683339
Jordan Zemura,Udinese,Serie A,2024-2025,Defenders,24,510000,-0.4225990393801613,0.0745652283031777,0.497164267683339
Mehdi Zeffane,Clermont Foot,Ligue 1,2022-2023,Defenders,30,240000,-0.5684538362959906,-0.0953589447712883,0.4730948915247022
Mehdi Zeffane,Clermont Foot,Ligue 1,2023-2024,Defenders,31,240000,-0.7343310584405067,-0.2612361669158045,0.4730948915247022
Marvin Zeegelaar,Udinese,Serie A,2022-2023,Defenders,31,640000,-0.4931856097857725,-0.1614637658624902,0.3317218439232822
Gabriele Zappa,Cagliari,Serie A,2023-2024,Defenders,23,560000,-0.2387897345748602,0.0991912724391112,0.3379810070139714
Gabriele Zappa,Cagliari,Serie A,2024-2025,Defenders,24,560000,-0.4916141168972103,-0.1536331098832388,0.3379810070139714
Alessandro Zanoli,Sampdoria,Serie A,2022-2023,Defenders,21,740000,0.5842661691509505,0.4879588047554914,-0.096307364395459
Alessandro Zanoli,Salernitana,Serie A,2023-2024,Defenders,22,740000,-0.1585374730943858,-0.2548448374898449,-0.096307364395459
Nicola Zalewski,Roma,Serie A,2022-2023,Defenders,20,560000,-0.7650551480592558,0.0829893467837253,0.8480444948429812
Joseba Zaldúa,Cádiz,La Liga,2022-2023,Defenders,30,900000,0.4734187622809216,0.1107004337086721,-0.3627183285722495
Joseba Zaldúa,Cádiz,La Liga,2023-2024,Defenders,31,900000,0.395214418866983,0.0324960902947334,-0.3627183285722495
Denis Zakaria,Monaco,Ligue 1,2023-2024,Defenders,26,3900000,0.2080738985262886,-0.2250069172840513,-0.4330808158103399
Warren Zaïre-Emery,Paris Saint-Germain,Ligue 1,2023-2024,Defenders,17,250000,-1.7354798825733493,-1.3444181386155556,0.3910617439577937
Warren Zaïre-Emery,Paris Saint-Germain,Ligue 1,2024-2025,Defenders,18,8400000,1.3897484963367432,1.780810240294537,0.3910617439577937
Dan-Axel Zagadou,Stuttgart,Bundesliga,2022-2023,Defenders,23,2830000,1.4107031449160328,0.1129816864063384,-1.2977214585096943
Dan-Axel Zagadou,Stuttgart,Bundesliga,2023-2024,Defenders,24,2830000,1.184739772103356,-0.1129816864063384,-1.2977214585096943
Illia Zabarnyi,Bournemouth,Premier League,2022-2023,Defenders,19,1511083,0.9306253658954766,0.3266859343748228,-0.6039394315206538
Illia Zabarnyi,Bournemouth,Premier League,2023-2024,Defenders,20,1538792,0.2555224612642544,-0.3484169702563994,-0.6039394315206538
Illia Zabarnyi,Bournemouth,Premier League,2024-2025,Defenders,21,3080342,0.6256704674022302,0.0217310358815764,-0.6039394315206538
Etienne Youte Kinkoue,Le Havre,Ligue 1,2023-2024,Defenders,21,220000,-0.0609476591823519,-0.2835973953501396,-0.2226497361677877
Etienne Youte Kinkoue,Le Havre,Ligue 1,2024-2025,Defenders,22,540000,0.5062471315179273,0.2835973953501396,-0.2226497361677877
Ashley Young,Everton,Premier League,2023-2024,Defenders,38,2462068,-0.4094107053172493,-0.0136801000327704,0.3957306052844789
Ashley Young,Everton,Premier League,2024-2025,Defenders,39,2464274,-0.2395208459661706,0.1562097593183083,0.3957306052844789
Leny Yoro,Lille,Ligue 1,2022-2023,Defenders,16,60000,-0.7476784185371095,-0.7706953201219555,-0.023016901584846
Leny Yoro,Lille,Ligue 1,2023-2024,Defenders,17,360000,0.3497506623569357,0.3267337607720896,-0.023016901584846
Leny Yoro,Manchester Utd,Premier League,2024-2025,Defenders,18,7084788,1.227312039379294,1.204295137794448,-0.023016901584846
Darlin Yongwa,Lorient,Ligue 1,2022-2023,Defenders,21,210000,0.0213998232521959,0.2895554657910097,0.2681556425388138
Darlin Yongwa,Lorient,Ligue 1,2023-2024,Defenders,22,210000,-0.302018971149117,-0.0338633286103031,0.2681556425388138
Joe Worrall,Nottingham Forest,Premier League,2022-2023,Defenders,25,906650,-0.9312718459510236,-0.6502511604016492,0.2810206855493744
Joe Worrall,Nottingham Forest,Premier League,2023-2024,Defenders,26,3077584,0.3692304748522748,0.6502511604016492,0.2810206855493744
Christopher Wooh,Rennes,Ligue 1,2023-2024,Defenders,21,240000,-0.5299668992379374,0.1394701043520756,0.669437003590013
Christopher Wooh,Rennes,Ligue 1,2024-2025,Defenders,22,240000,-0.8089071079420886,-0.1394701043520756,0.669437003590013
Marius Wolf,Dortmund,Bundesliga,2022-2023,Defenders,27,3300000,-0.0824282011518686,-0.1249556231832352,-0.0425274220313666
Marius Wolf,Dortmund,Bundesliga,2023-2024,Defenders,28,3300000,-0.1675605904438253,-0.2100880124751919,-0.0425274220313666
Maximilian Wöber,Leeds United,Premier League,2022-2023,Defenders,24,2115516,0.1363248405452424,0.0682381607967261,-0.0680866797485162
Maximilian Wöber,Gladbach,Bundesliga,2023-2024,Defenders,25,2120000,-0.0001514810482099,-0.0682381607967261,-0.0680866797485162
Maximilian Wittek,Bochum,Bundesliga,2023-2024,Defenders,27,800000,0.0098300459780045,0.1203803947183379,0.1105503487403334
Maximilian Wittek,Bochum,Bundesliga,2024-2025,Defenders,28,800000,-0.3407012610537396,-0.2301509123134061,0.1105503487403334
Axel Witsel,Atlético Madrid,La Liga,2022-2023,Defenders,33,8330000,0.7194489767175067,0.0114170324327802,-0.7080319442847265
Axel Witsel,Atlético Madrid,La Liga,2023-2024,Defenders,34,8330000,0.672544318352104,-0.0354876259326224,-0.7080319442847265
Axel Witsel,Atlético Madrid,La Liga,2024-2025,Defenders,35,8330000,0.8791393210232261,0.1711073767384996,-0.7080319442847265
Josh Wilson-Esbrand,Reims,Ligue 1,2023-2024,Defenders,20,300000,0.2882528990654265,-0.0841667821102012,-0.3724196811756277
Neco Williams,Nottingham Forest,Premier League,2022-2023,Defenders,21,3022165,0.978507537992236,0.3635265145402265,-0.6149810234520094
Neco Williams,Nottingham Forest,Premier League,2023-2024,Defenders,22,3077584,0.8222769413911681,0.2072959179391587,-0.6149810234520094
Neco Williams,Nottingham Forest,Premier League,2024-2025,Defenders,23,3080342,0.3959723996709741,-0.2190086237810353,-0.6149810234520094
Caleb Wiley,Strasbourg,Ligue 1,2024-2025,Defenders,19,720000,1.2700080628861308,0.1623047293329573,-1.1077033335531734
Mateusz Wieteska,Clermont Foot,Ligue 1,2022-2023,Defenders,25,270000,-0.3311650810698712,0.0405258998771334,0.3716909809470046
Mateusz Wieteska,Cagliari,Serie A,2024-2025,Defenders,27,640000,-0.412216880824138,-0.0405258998771334,0.3716909809470046
Mats Wieffer,Brighton,Premier League,2024-2025,Defenders,24,3696411,0.5900773434904902,0.0122539024485375,-0.5778234410419527
Silvan Widmer,Mainz 05,Bundesliga,2022-2023,Defenders,29,1300000,-0.1056711280779847,-0.3337992761863148,-0.22812814810833
Silvan Widmer,Mainz 05,Bundesliga,2023-2024,Defenders,30,1890000,0.1591075253078937,-0.0690206228004363,-0.2281281481083301
Ben White,Arsenal,Premier League,2022-2023,Defenders,24,7253196,0.2333416630096838,0.0683401403864908,-0.1650015226231929
Ben White,Arsenal,Premier League,2023-2024,Defenders,25,7386203,-0.0107597318278553,-0.1757612544510482,-0.1650015226231929
Ben White,Arsenal,Premier League,2024-2025,Defenders,26,9241027,0.2724226366877502,0.1074211140645572,-0.1650015226231929
Adam Webster,Brighton,Premier League,2022-2023,Defenders,27,3324382,0.1165394270457902,0.0455835334740992,-0.0709558935716909
Adam Webster,Brighton,Premier League,2023-2024,Defenders,28,3385343,0.0970298094917208,0.0260739159200298,-0.0709558935716909
Adam Webster,Brighton,Premier League,2024-2025,Defenders,29,3388377,-0.0007015558224381,-0.071657449394129,-0.0709558935716909
Timothy Weah,Lille,Ligue 1,2022-2023,Defenders,22,700000,0.1369666192669516,0.1909355374801911,0.0539689182132395
Timothy Weah,Juventus,Serie A,2024-2025,Defenders,24,2560000,-0.3650431895936563,-0.3110742713804167,0.0539689182132395
Joel Ward,Crystal Palace,Premier League,2022-2023,Defenders,32,2115516,-0.7395808834300048,0.0146015759555933,0.7541824593855981
Joel Ward,Crystal Palace,Premier League,2023-2024,Defenders,33,2154309,-0.7687840353411914,-0.0146015759555933,0.7541824593855981
Aaron Wan-Bissaka,Manchester Utd,Premier League,2022-2023,Defenders,24,5439897,-0.0956205762936281,-0.1046245182891296,-0.0090039419955014
Aaron Wan-Bissaka,Manchester Utd,Premier League,2023-2024,Defenders,25,5539652,-0.3001579526607774,-0.3091618946562788,-0.0090039419955014
Aaron Wan-Bissaka,West Ham United,Premier League,2024-2025,Defenders,26,5544616,0.3283800362590678,0.3193760942635663,-0.0090039419955014
Sebastian Walukiewicz,Empoli,Serie A,2022-2023,Defenders,22,380000,0.1599688412011932,0.2366788020958709,0.0767099608946777
Sebastian Walukiewicz,Empoli,Serie A,2023-2024,Defenders,23,380000,-0.3133887629905487,-0.2366788020958709,0.0767099608946777
Kyle Walker-Peters,Southampton,Premier League,2022-2023,Defenders,25,1208866,-0.3357475195363886,0.4115035507426223,0.7472510702790109
Kyle Walker-Peters,Southampton,Premier League,2024-2025,Defenders,27,1232137,-0.704302013070615,0.0429490572083959,0.7472510702790109
Kyle Walker,Manchester City,Premier League,2022-2023,Defenders,32,9670928,-0.1553744491629487,-0.0017400253991129,0.1536344237638358
Kyle Walker,Manchester City,Premier League,2023-2024,Defenders,33,10771545,-0.217056368767011,-0.0634219450031752,0.1536344237638358
Stefan de Vrij,Inter,Serie A,2022-2023,Defenders,30,7040000,0.3138363615246007,0.053038997998378,-0.2607973635262226
Stefan de Vrij,Inter,Serie A,2023-2024,Defenders,31,7040000,0.283730565370778,0.0229332018445553,-0.2607973635262226
Stefan de Vrij,Inter,Serie A,2024-2025,Defenders,32,7040000,0.1848251636832891,-0.0759721998429335,-0.2607973635262226
Mërgim Vojvoda,Torino,Serie A,2023-2024,Defenders,28,900000,-0.4613967407780812,0.2236709208701129,0.6850676616481941
Kevin Vogt,Hoffenheim,Bundesliga,2022-2023,Defenders,30,1700000,-0.2149158118217418,0.0098825366160281,0.22479834843777
Kevin Vogt,Union Berlin,Bundesliga,2024-2025,Defenders,32,1100000,-0.2346808850537982,-0.0098825366160281,0.22479834843777
Daniel Vivian,Athletic Club,La Liga,2022-2023,Defenders,23,1100000,0.2388356380502809,-0.0795698725225436,-0.3184055105728245
Daniel Vivian,Athletic Club,La Liga,2023-2024,Defenders,24,1100000,-0.0634993270041288,-0.3819048375769533,-0.3184055105728245
Daniel Vivian,Athletic Club,La Liga,2024-2025,Defenders,25,3130000,0.7798802206723217,0.4614747100994971,-0.3184055105728245
Vitinho,Burnley,Premier League,2023-2024,Defenders,24,1538792,0.3503351868974356,0.239103215499373,-0.1112319713980625
Mattia Viti,Nice,Ligue 1,2022-2023,Defenders,20,600000,0.8473540827004165,0.2761664632891474,-0.571187619411269
Mattia Viti,Sassuolo,Serie A,2023-2024,Defenders,21,590000,0.5701563501478599,-0.0010312692634091,-0.571187619411269
Mattia Viti,Empoli,Serie A,2024-2025,Defenders,22,650000,0.2960524253855308,-0.2751351940257382,-0.571187619411269
Nacho Vidal,Osasuna,La Liga,2022-2023,Defenders,27,1010000,0.677864507850872,0.1294745590413786,-0.5483899488094934
Nacho Vidal,Osasuna,La Liga,2024-2025,Defenders,29,870000,0.4189153897681148,-0.1294745590413786,-0.5483899488094934
Lorenzo Venuti,Fiorentina,Serie A,2022-2023,Defenders,27,740000,-0.9987016703092576,-0.3822487311996277,0.6164529391096298
Lorenzo Venuti,Lecce,Serie A,2023-2024,Defenders,28,740000,-0.2342042079100021,0.3822487311996277,0.6164529391096298
Micky van de Ven,Wolfsburg,Bundesliga,2022-2023,Defenders,21,420000,-0.6652018252022707,-0.3149527279277594,0.3502490972745112
Micky van de Ven,Tottenham Hotspur,Premier League,2023-2024,Defenders,22,3077584,-0.1383234776170834,0.2119256196574278,0.3502490972745112
Micky van de Ven,Tottenham Hotspur,Premier League,2024-2025,Defenders,23,3080342,-0.2472219890041795,0.1030271082703317,0.3502490972745112
Joël Veltman,Brighton,Premier League,2022-2023,Defenders,30,2417732,-0.2884369499672168,-0.1795877236598659,0.1088492263073508
Joël Veltman,Brighton,Premier League,2023-2024,Defenders,31,3077584,0.0402806141890739,0.1491298404964247,0.1088492263073508
Joël Veltman,Brighton,Premier League,2024-2025,Defenders,32,3080342,-0.0783913431439096,0.0304578831634412,0.1088492263073508
Miloš Veljković,Werder Bremen,Bundesliga,2022-2023,Defenders,26,920000,0.1009267651580962,-0.0777609781260502,-0.1786877432841465
Miloš Veljković,Werder Bremen,Bundesliga,2023-2024,Defenders,27,1200000,0.2296407935064106,0.050953050222264,-0.1786877432841465
Miloš Veljković,Werder Bremen,Bundesliga,2024-2025,Defenders,28,1200000,0.2054956711879327,0.0268079279037861,-0.1786877432841465
Renato Veiga,Juventus,Serie A,2024-2025,Defenders,21,1540171,-0.2746302398836917,0.2706093952291484,0.5452396351128401
Lucas Vázquez,Real Madrid,La Liga,2022-2023,Defenders,31,9380000,-0.2106451225574019,0.0839692539767233,0.2946143765341252
Lucas Vázquez,Real Madrid,La Liga,2023-2024,Defenders,32,9380000,-0.2554939577137141,0.0391204188204111,0.2946143765341252
Lucas Vázquez,Real Madrid,La Liga,2024-2025,Defenders,33,9380000,-0.4177040493312596,-0.1230896727971344,0.2946143765341252
Kevin Vázquez,Celta Vigo,La Liga,2022-2023,Defenders,29,960000,0.0608682555783737,0.2321397397661766,0.1712714841878029
Kevin Vázquez,Celta Vigo,La Liga,2023-2024,Defenders,30,600000,-0.5445798237876449,-0.373308339599842,0.1712714841878029
Jesus Vazquez,Valencia,La Liga,2022-2023,Defenders,19,480000,0.2146724367365635,0.265657653885204,0.0509852171486405
Jesus Vazquez,Valencia,La Liga,2023-2024,Defenders,20,480000,-0.1865029230729824,-0.1355177059243418,0.0509852171486405
Jesus Vazquez,Valencia,La Liga,2024-2025,Defenders,21,620000,-0.1811251651095027,-0.1301399479608621,0.0509852171486405
Johan Vásquez,Cremonese,Serie A,2022-2023,Defenders,23,580000,0.4943251379415674,0.4562911442236749,-0.0380339937178924
Johan Vásquez,Genoa,Serie A,2023-2024,Defenders,24,580000,-0.3469717424196172,-0.3850057361375096,-0.0380339937178924
Johan Vásquez,Genoa,Serie A,2024-2025,Defenders,25,1030000,-0.0332514143682729,-0.0712854080861653,-0.0380339937178924
Raphaël Varane,Manchester Utd,Premier League,2022-2023,Defenders,29,20550723,0.7252643307789661,0.0227341814629564,-0.7025301493160097
Raphaël Varane,Manchester Utd,Premier League,2023-2024,Defenders,30,20927574,0.6797959678530532,-0.0227341814629564,-0.7025301493160097
Vanderson,Monaco,Ligue 1,2022-2023,Defenders,21,3000000,0.9039963371769826,0.0323649684997715,-0.871631368677211
Vanderson,Monaco,Ligue 1,2023-2024,Defenders,22,3000000,0.6184514242456398,-0.2531799444315712,-0.871631368677211
Vanderson,Monaco,Ligue 1,2024-2025,Defenders,23,3000000,0.4096266871373029,-0.4620046815399081,-0.871631368677211
Virgil van Dijk,Liverpool,Premier League,2022-2023,Defenders,31,13297527,0.4708584831585316,0.0818406621953495,-0.3890178209631821
Virgil van Dijk,Liverpool,Premier League,2023-2024,Defenders,32,13541371,0.3832819261768172,-0.0057358947863648,-0.3890178209631821
Virgil van Dijk,Liverpool,Premier League,2024-2025,Defenders,33,13553507,0.3129130535541975,-0.0761047674089845,-0.3890178209631821
Siebe Van Der Heyden,Mallorca,La Liga,2023-2024,Defenders,25,850000,0.4500047195562544,-0.3260419471297063,-0.7760466666859607
Federico Valverde,Real Madrid,La Liga,2024-2025,Defenders,26,16670000,0.0831304006322852,0.2539912006898096,0.1708608000575244
