model,f_stat,pvalue,groups
Defenders,9.214487765481465,5.06946270552465e-21,16
Midfielders,8.895661530066667,1.6933563695309536e-28,23
Forwards,12.387504098630199,5.737636776637785e-13,7
Goalkeepers,0.8630365679272198,0.46077638033246837,4
