target_team,season,club_annual_eur,position_group,suggested_player,current_team,comp,current_wage_EUR,efficiency_score,efficiency_pct,wage_as_pct_of_bill,value_rating
Bayern Munich,2024-2025,262170000,Forwards,Mohamed Amoura,Wolfsburg,Bundesliga,470000,-1.952348164174989,-85.8059619357528,0.0017927299080749133,Exceptional
Bayern Munich,2024-2025,262170000,Forwards,Ibrahim Mbaye,Paris Saint-Germain,Ligue 1,120000,-1.850650731713996,-84.28651196131538,0.0004577182744021055,Exceptional
Bayern Munich,2024-2025,262170000,Goalkeepers,Marco Carnesecchi,Atalanta,Serie A,190000,-2.1656320138510115,-88.53225660376734,0.000724720601136667,Exceptional
Bayern Munich,2024-2025,262170000,Goalkeepers,Christos Mandas,Lazio,Serie A,130000,-1.6468540116742538,-80.73449532290863,0.0004958614639356143,Exceptional
Bayern Munich,2024-2025,262170000,Goalkeepers,Fran Vieites,Real Betis,La Liga,160000,-1.6217621109731297,-80.24497133247918,0.0006102910325361407,Exceptional
Bayern Munich,2024-2025,262170000,Goalkeepers,Ørjan Nyland,Sevilla,La Liga,730000,-1.4473474432662403,-76.48066749538577,0.002784452835946142,Exceptional
Bayern Munich,2024-2025,262170000,Goalkeepers,Caoimhín Kelleher,Liverpool,Premier League,616068,-1.4414268880532006,-76.34100696273055,0.0023498798489529696,Exceptional
Manchester City,2024-2025,239198665,Defenders,César Tárrega,Valencia,La Liga,200000,-1.8669456043403798,-84.5404863873175,0.0008361250678384848,Exceptional
Manchester City,2024-2025,239198665,Defenders,Jesús Vallejo,Real Madrid,La Liga,1800000,-1.7284046675232112,-82.24325367312416,0.007525125610546363,Exceptional
Manchester City,2024-2025,239198665,Defenders,Nicolò Savona,Juventus,Serie A,370000,-1.6975365209301803,-81.68658841254761,0.0015468313755011968,Exceptional
Manchester City,2024-2025,239198665,Defenders,Alessio Iovine,Como,Serie A,150000,-1.6531003559921995,-80.85445924056243,0.0006270938008788636,Exceptional
Manchester City,2024-2025,239198665,Defenders,Iglesias,Getafe,La Liga,180000,-1.5587960024766172,-78.96107731211129,0.0007525125610546363,Exceptional
Manchester City,2024-2025,239198665,Midfielders,Pablo Torre,Barcelona,La Liga,210000,-3.060094488817752,-95.31167349335968,0.000877931321230409,Exceptional
Manchester City,2024-2025,239198665,Midfielders,Seydouba Cissé,Leganés,La Liga,30000,-2.321144410175787,-90.1838815358345,0.00012541876017577272,Exceptional
Manchester City,2024-2025,239198665,Midfielders,Andy Irving,West Ham United,Premier League,308034,-2.0736692443011027,-87.42763763514388,0.001287774745732799,Exceptional
Manchester City,2024-2025,239198665,Midfielders,Toby Collyer,Manchester Utd,Premier League,308034,-1.9478365312489494,-85.74177897014765,0.001287774745732799,Exceptional
Manchester City,2024-2025,239198665,Midfielders,Marc Casado,Barcelona,La Liga,520000,-1.9343826160647524,-85.54865384227729,0.0021739251763800605,Exceptional
Manchester City,2024-2025,239198665,Forwards,Alfon,Celta Vigo,La Liga,140000,-2.4088933332075406,-91.00852548045931,0.0005852875474869393,Exceptional
Manchester City,2024-2025,239198665,Forwards,Pau Victor,Barcelona,La Liga,380000,-2.0091280901333377,-86.5894448338033,0.0015886376288931211,Exceptional
Manchester City,2024-2025,239198665,Forwards,Pablo Durán,Celta Vigo,La Liga,140000,-1.9671298219685838,-86.01423028126085,0.0005852875474869393,Exceptional
Manchester City,2024-2025,239198665,Forwards,Mohamed Amoura,Wolfsburg,Bundesliga,470000,-1.952348164174989,-85.8059619357528,0.0019648939094204392,Exceptional
Manchester City,2024-2025,239198665,Forwards,Ibrahim Mbaye,Paris Saint-Germain,Ligue 1,120000,-1.850650731713996,-84.28651196131538,0.0005016750407030909,Exceptional
Manchester City,2024-2025,239198665,Goalkeepers,Marco Carnesecchi,Atalanta,Serie A,190000,-2.1656320138510115,-88.53225660376734,0.0007943188144465606,Exceptional
Manchester City,2024-2025,239198665,Goalkeepers,Christos Mandas,Lazio,Serie A,130000,-1.6468540116742538,-80.73449532290863,0.0005434812940950151,Exceptional
Manchester City,2024-2025,239198665,Goalkeepers,Fran Vieites,Real Betis,La Liga,160000,-1.6217621109731297,-80.24497133247918,0.0006689000542707879,Exceptional
Manchester City,2024-2025,239198665,Goalkeepers,Ørjan Nyland,Sevilla,La Liga,730000,-1.4473474432662403,-76.48066749538577,0.0030518564976104697,Exceptional
Manchester City,2024-2025,239198665,Goalkeepers,Caoimhín Kelleher,Liverpool,Premier League,616068,-1.4414268880532006,-76.34100696273055,0.002575549491465598,Exceptional
Manchester Utd,2024-2025,214295768,Defenders,César Tárrega,Valencia,La Liga,200000,-1.8669456043403798,-84.5404863873175,0.0009332895458766129,Exceptional
Manchester Utd,2024-2025,214295768,Defenders,Jesús Vallejo,Real Madrid,La Liga,1800000,-1.7284046675232112,-82.24325367312416,0.008399605912889517,Exceptional
Manchester Utd,2024-2025,214295768,Defenders,Nicolò Savona,Juventus,Serie A,370000,-1.6975365209301803,-81.68658841254761,0.001726585659871734,Exceptional
Manchester Utd,2024-2025,214295768,Defenders,Alessio Iovine,Como,Serie A,150000,-1.6531003559921995,-80.85445924056243,0.0006999671594074597,Exceptional
Manchester Utd,2024-2025,214295768,Defenders,Iglesias,Getafe,La Liga,180000,-1.5587960024766172,-78.96107731211129,0.0008399605912889517,Exceptional
Manchester Utd,2024-2025,214295768,Midfielders,Pablo Torre,Barcelona,La Liga,210000,-3.060094488817752,-95.31167349335968,0.0009799540231704435,Exceptional
Manchester Utd,2024-2025,214295768,Midfielders,Seydouba Cissé,Leganés,La Liga,30000,-2.321144410175787,-90.1838815358345,0.00013999343188149193,Exceptional
Manchester Utd,2024-2025,214295768,Midfielders,Andy Irving,West Ham United,Premier League,308034,-2.0736692443011027,-87.42763763514388,0.001437424559872783,Exceptional
Manchester Utd,2024-2025,214295768,Midfielders,Marc Casado,Barcelona,La Liga,520000,-1.9343826160647524,-85.54865384227729,0.0024265528192791938,Exceptional
Manchester Utd,2024-2025,214295768,Midfielders,Þórir Jóhann Helgason,Lecce,Serie A,60000,-1.9322275445785664,-85.51747657568312,0.00027998686376298385,Exceptional
Manchester Utd,2024-2025,214295768,Forwards,Alfon,Celta Vigo,La Liga,140000,-2.4088933332075406,-91.00852548045931,0.0006533026821136291,Exceptional
Manchester Utd,2024-2025,214295768,Forwards,Pau Victor,Barcelona,La Liga,380000,-2.0091280901333377,-86.5894448338033,0.0017732501371655646,Exceptional
Manchester Utd,2024-2025,214295768,Forwards,Pablo Durán,Celta Vigo,La Liga,140000,-1.9671298219685838,-86.01423028126085,0.0006533026821136291,Exceptional
Manchester Utd,2024-2025,214295768,Forwards,Mohamed Amoura,Wolfsburg,Bundesliga,470000,-1.952348164174989,-85.8059619357528,0.0021932304328100404,Exceptional
Manchester Utd,2024-2025,214295768,Forwards,Ibrahim Mbaye,Paris Saint-Germain,Ligue 1,120000,-1.850650731713996,-84.28651196131538,0.0005599737275259677,Exceptional
Manchester Utd,2024-2025,214295768,Goalkeepers,Marco Carnesecchi,Atalanta,Serie A,190000,-2.1656320138510115,-88.53225660376734,0.0008866250685827823,Exceptional
Manchester Utd,2024-2025,214295768,Goalkeepers,Christos Mandas,Lazio,Serie A,130000,-1.6468540116742538,-80.73449532290863,0.0006066382048197984,Exceptional
Manchester Utd,2024-2025,214295768,Goalkeepers,Fran Vieites,Real Betis,La Liga,160000,-1.6217621109731297,-80.24497133247918,0.0007466316367012903,Exceptional
