quantile,variable,coef,model
0.75,Fls_p90,-0.047049,Midfielders
0.75,Fld_p90,0.089622,Midfielders
0.75,CrdY_p90,0.029627,Midfielders
0.75,On_Off,-0.006162,Midfielders
0.9,Intercept,8.130474,Midfielders
0.9,Age,0.400422,Midfielders
0.9,Age2,-0.006337,Midfielders
0.9,Min_pct,0.001964,Midfielders
0.9,NPGls_p90,0.000449,Midfielders
0.9,Ast_p90,0.158484,Midfielders
0.9,SoT_p90,0.16397,Midfielders
0.9,G_Sh,0.126091,Midfielders
0.9,G_Sh_zero,0.12797,Midfielders
0.9,TklW_p90,0.001536,Midfielders
0.9,Int_p90,0.035853,Midfielders
0.9,Fls_p90,-0.049209,Midfielders
0.9,Fld_p90,0.071715,Midfielders
0.9,CrdY_p90,-0.005233,Midfielders
0.9,On_Off,-0.004785,Midfielders
0.1,Intercept,2.240793,Forwards
0.1,Age,0.595119,Forwards
0.1,Age2,-0.00908,Forwards
0.1,Min_pct,0.010787,Forwards
0.1,NPGls_p90,0.680528,Forwards
0.1,Ast_p90,-0.352222,Forwards
0.1,SoT_p90,-0.079752,Forwards
0.1,G_Sh,-0.970705,Forwards
0.1,G_Sh_zero,0.905794,Forwards
0.1,SoT_pct,0.001157,Forwards
0.1,SoTPct_zero,0.0,Forwards
0.1,Off_p90,-0.012425,Forwards
0.1,TklW_p90,-0.119547,Forwards
0.1,Int_p90,-0.426055,Forwards
0.1,CrdY_p90,0.153548,Forwards
0.1,On_Off,-0.116981,Forwards
0.1,Club_Wage_Rank_Pct,2.561205,Forwards
0.25,Intercept,5.174812,Forwards
0.25,Age,0.449915,Forwards
0.25,Age2,-0.006929,Forwards
0.25,Min_pct,0.008775,Forwards
0.25,NPGls_p90,0.772051,Forwards
0.25,Ast_p90,0.319212,Forwards
0.25,SoT_p90,-0.051173,Forwards
0.25,G_Sh,-2.0947,Forwards
0.25,G_Sh_zero,0.719782,Forwards
0.25,SoT_pct,0.001885,Forwards
0.25,SoTPct_zero,0.0,Forwards
0.25,Off_p90,-0.009994,Forwards
0.25,TklW_p90,-0.170226,Forwards
0.25,Int_p90,-0.089889,Forwards
0.25,CrdY_p90,-0.056362,Forwards
0.25,On_Off,-0.018164,Forwards
0.25,Club_Wage_Rank_Pct,2.358402,Forwards
0.5,Intercept,6.119783,Forwards
0.5,Age,0.419432,Forwards
0.5,Age2,-0.00663,Forwards
0.5,Min_pct,0.00883,Forwards
0.5,NPGls_p90,0.39873,Forwards
0.5,Ast_p90,0.413226,Forwards
0.5,SoT_p90,0.198588,Forwards
0.5,G_Sh,-1.37422,Forwards
0.5,G_Sh_zero,0.34345,Forwards
0.5,SoT_pct,-0.002795,Forwards
0.5,SoTPct_zero,0.0,Forwards
0.5,Off_p90,0.144398,Forwards
0.5,TklW_p90,-0.097831,Forwards
0.5,Int_p90,-0.009497,Forwards
0.5,CrdY_p90,-0.093995,Forwards
0.5,On_Off,-0.057091,Forwards
0.5,Club_Wage_Rank_Pct,2.305735,Forwards
0.75,Intercept,8.321368,Forwards
0.75,Age,0.30583,Forwards
0.75,Age2,-0.00479,Forwards
0.75,Min_pct,0.009251,Forwards
0.75,NPGls_p90,1.278462,Forwards
0.75,Ast_p90,0.229458,Forwards
0.75,SoT_p90,0.097823,Forwards
0.75,G_Sh,-3.717581,Forwards
0.75,G_Sh_zero,0.26894,Forwards
0.75,SoT_pct,-0.002318,Forwards
0.75,SoTPct_zero,0.0,Forwards
0.75,Off_p90,0.185751,Forwards
0.75,TklW_p90,-0.139437,Forwards
0.75,Int_p90,0.03773,Forwards
0.75,CrdY_p90,-0.127938,Forwards
0.75,On_Off,-0.054094,Forwards
0.75,Club_Wage_Rank_Pct,2.268145,Forwards
0.9,Intercept,10.009928,Forwards
0.9,Age,0.215446,Forwards
0.9,Age2,-0.003163,Forwards
0.9,Min_pct,0.006157,Forwards
0.9,NPGls_p90,1.463193,Forwards
0.9,Ast_p90,0.564781,Forwards
0.9,SoT_p90,-0.006997,Forwards
0.9,G_Sh,-4.256747,Forwards
0.9,G_Sh_zero,-0.072315,Forwards
0.9,SoT_pct,0.000767,Forwards
0.9,SoTPct_zero,0.0,Forwards
0.9,Off_p90,0.240871,Forwards
0.9,TklW_p90,-0.153223,Forwards
0.9,Int_p90,-0.059421,Forwards
0.9,CrdY_p90,-0.091749,Forwards
