Comp,n_talents,mean_efficiency,total_annual_discount_EUR,mean_age,mean_scouting_score
Premier League,49,-0.8907556811090652,74428185.84900284,21.591836734693878,0.798804081632653
La Liga,55,-1.0659958027635916,54396983.28910261,21.636363636363637,0.9343690909090908
Bundesliga,50,-0.8007918482878954,32852931.63791904,21.54,0.804366
Serie A,42,-0.8738835654448015,27299704.204241935,22.404761904761905,0.7767571428571429
Ligue 1,45,-0.8123143562609014,16905570.236714065,21.133333333333333,0.8677866666666667
