Nation,n_players,mean_efficiency,total_annual_discount_EUR
ENG,64,-0.8445118241513359,96692526.68366909
ESP,117,-0.9365974166412196,72233142.21620059
FRA,109,-1.013139962703661,48073383.33532962
GER,85,-0.8993902606218761,39160916.40535256
ITA,59,-0.9016421311976275,30128091.130882796
BRA,22,-0.7454675939296952,26202600.85563281
POR,22,-0.878877886582914,22160246.02044532
