threshold,position_group,overpaid_rate,underpaid_rate,fair_rate,n
0.4,Defenders,0.24177777777777779,0.22711111111111112,0.5311111111111111,2250
0.4,Forwards,0.2765726681127983,0.25054229934924077,0.47288503253796094,922
0.4,Goalkeepers,0.2813688212927757,0.27756653992395436,0.44106463878326996,526
0.4,Midfielders,0.2536764705882353,0.23629679144385027,0.5100267379679144,2992
0.5,Defenders,0.188,0.18488888888888888,0.6271111111111111,2250
0.5,Forwards,0.20715835140997832,0.20281995661605207,0.5900216919739696,922
0.5,Goalkeepers,0.21673003802281368,0.22813688212927757,0.5551330798479087,526
0.5,Midfielders,0.20454545454545456,0.19552139037433156,0.5999331550802139,2992
0.6,Defenders,0.14533333333333334,0.15022222222222223,0.7044444444444444,2250
0.6,Forwards,0.1648590021691974,0.16919739696312364,0.665943600867679,922
0.6,Goalkeepers,0.18631178707224336,0.1806083650190114,0.6330798479087453,526
0.6,Midfielders,0.1534090909090909,0.1537433155080214,0.6928475935828877,2992
