Team,Player,Nation,Pos,Age,Weekly Wages,Annual Wages,Notes
Lille,Alan Virginius,FRA,FW,19.0,"€ 5,192 (£ 4,467, $5,678)","€ 270,000 (£ 232,284, $295,234)",Unverified estimation
Ajaccio,Alassane N'Diaye,FRA,RM,31.0,"€ 2,885 (£ 2,482, $3,154)","€ 150,000 (£ 129,047, $164,019)",Unverified estimation
Gladbach,Alassane Pléa,FRA,"MF,FW",29.0,"€ 90,769 (£ 78,090, $99,253)","€ 4,720,000 (£ 4,060,665, $5,161,134)",
Nantes,Alban Lafont,CIV,GK,23.0,"€ 19,615 (£ 16,875, $21,449)","€ 1,020,000 (£ 877,517, $1,115,330)",
Crystal Palace,Albert Sambi Lokonga,BEL,MF,22.0,"£ 50,000 (€ 58,119, $63,550)","£ 2,600,000 (€ 3,022,165, $3,304,619)",
Empoli,Alberto Grassi,ITA,MF,27.0,"€ 32,115 (£ 27,629, $35,117)","€ 1,670,000 (£ 1,436,718, $1,826,079)",
Villarreal,Alberto Moreno,ESP,DF,30.0,"€ 26,923 (£ 23,162, $29,439)","€ 1,400,000 (£ 1,204,434, $1,530,845)",Unverified estimation
Spezia,Albin Ekdal,SWE,MF,33.0,"€ 28,462 (£ 24,486, $31,122)","€ 1,480,000 (£ 1,273,259, $1,618,322)",
Girona,Aleix García,ESP,MF,25.0,"€ 8,077 (£ 6,949, $8,832)","€ 420,000 (£ 361,330, $459,253)",Unverified estimation
Espanyol,Aleix Vidal,ESP,"MF,FW",32.0,"€ 19,231 (£ 16,544, $21,028)","€ 1,000,000 (£ 860,310, $1,093,461)",Unverified estimation
Barcelona,Alejandro Balde,ESP,DF,18.0,"€ 3,077 (£ 2,647, $3,365)","€ 160,000 (£ 137,650, $174,954)",Unverified estimation
Manchester Utd,Alejandro Garnacho,ARG,MF,18.0,"£ 50,000 (€ 58,119, $63,550)","£ 2,600,000 (€ 3,022,165, $3,304,619)",
Almería,Alejandro Pozo Pozo,ESP,"DF,MF",23.0,"€ 13,846 (£ 11,912, $15,140)","€ 720,000 (£ 619,423, $787,292)",Unverified estimation
Fiorentina,Aleksa Terzić,SRB,DF,22.0,"€ 7,308 (£ 6,287, $7,991)","€ 380,000 (£ 326,918, $415,515)",
Fulham,Aleksandar Mitrović,SRB,FW,27.0,"£ 80,000 (€ 92,990, $101,681)","£ 4,160,000 (€ 4,835,464, $5,287,390)",
Monaco,Aleksandr Golovin,RUS,MF,26.0,"€ 69,231 (£ 59,560, $75,701)","€ 3,600,000 (£ 3,097,117, $3,936,458)",
Torino,Aleksei Miranchuk,RUS,MF,26.0,"€ 53,462 (£ 45,994, $58,458)","€ 2,780,000 (£ 2,391,663, $3,039,820)",
Inter,Alessandro Bastoni,ITA,DF,23.0,"€ 99,808 (£ 85,866, $109,136)","€ 5,190,000 (£ 4,465,011, $5,675,061)",
Hellas Verona,Alessandro Berardi,ITA,GK,31.0,"€ 8,846 (£ 7,610, $9,673)","€ 460,000 (£ 395,743, $502,992)",Unverified estimation
Fiorentina,Alessandro Bianco,ITA,MF,19.0,"€ 3,654 (£ 3,143, $3,995)","€ 190,000 (£ 163,459, $207,758)",
Torino,Alessandro Buongiorno,ITA,DF,23.0,"€ 7,885 (£ 6,783, $8,622)","€ 410,000 (£ 352,727, $448,319)",
Hellas Verona,Alessandro Cortinovis,ITA,MF,21.0,"€ 1,731 (£ 1,489, $1,893)","€ 90,000 (£ 77,428, $98,411)",Unverified estimation
Milan,Alessandro Florenzi,ITA,"DF,FW",31.0,"€ 71,154 (£ 61,214, $77,804)","€ 3,700,000 (£ 3,183,148, $4,045,804)",
Inter,Alessandro Fontanarosa,ITA,DF,19.0,"€ 1,346 (£ 1,158, $1,472)","€ 70,000 (£ 60,222, $76,542)",Unverified estimation
Salernitana,Alessandro Micai,ITA,GK,29.0,"€ 10,000 (£ 8,603, $10,935)","€ 520,000 (£ 447,361, $568,600)",Unverified estimation
Sassuolo,Alessandro Russo,ITA,GK,21.0,"€ 2,115 (£ 1,820, $2,313)","€ 110,000 (£ 94,634, $120,281)",Unverified estimation
Monza,Alessandro Sorrentino,ITA,GK,20.0,"€ 2,885 (£ 2,482, $3,154)","€ 150,000 (£ 129,047, $164,019)",Unverified estimation
Lecce,Alessandro Tuia,ITA,DF,32.0,"€ 14,231 (£ 12,243, $15,561)","€ 740,000 (£ 636,630, $809,161)",
Sampdoria,Alessandro Zanoli,ITA,"MF,DF",21.0,"€ 14,231 (£ 12,243, $15,561)","€ 740,000 (£ 636,630, $809,161)",Unverified estimation
Monza,Alessio Cragno,ITA,GK,28.0,"€ 35,577 (£ 30,607, $38,902)","€ 1,850,000 (£ 1,591,574, $2,022,902)",
Lazio,Alessio Romagnoli,ITA,DF,27.0,"€ 106,923 (£ 91,987, $116,916)","€ 5,560,000 (£ 4,783,326, $6,079,641)",
Napoli,Alessio Zerbin,ITA,"FW,MF",23.0,"€ 6,346 (£ 5,460, $6,939)","€ 330,000 (£ 283,902, $360,842)",
Villarreal,Alex Baena,ESP,"MF,FW",21.0,"€ 38,462 (£ 33,089, $42,056)","€ 2,000,000 (£ 1,720,621, $2,186,921)",Unverified estimation
Inter,Alex Cordaz,ITA,GK,39.0,"€ 5,385 (£ 4,632, $5,888)","€ 280,000 (£ 240,887, $306,169)",
Sampdoria,Alex Ferrari,ITA,DF,28.0,"€ 14,231 (£ 12,243, $15,561)","€ 740,000 (£ 636,630, $809,161)",
Everton,Alex Iwobi,NGA,MF,26.0,"£ 120,000 (€ 139,485, $152,521)","£ 6,240,000 (€ 7,253,196, $7,931,085)",
Schalke 04,Alex Král,CZE,MF,24.0,"€ 34,423 (£ 29,615, $37,640)","€ 1,790,000 (£ 1,539,956, $1,957,294)",Unverified estimation
Southampton,Alex McCarthy,ENG,GK,32.0,"£ 50,000 (€ 58,119, $63,550)","£ 2,600,000 (€ 3,022,165, $3,304,619)",
Napoli,Alex Meret,ITA,GK,25.0,"€ 53,462 (£ 45,994, $58,458)","€ 2,780,000 (£ 2,391,663, $3,039,820)",
Nottingham Forest,Alex Mighten,ENG,"FW,MF",20.0,"£ 3,462 (€ 4,024, $4,400)","£ 180,000 (€ 209,227, $228,781)",
Liverpool,Alex Oxlade-Chamberlain,ENG,"FW,MF",28.0,"£ 120,000 (€ 139,485, $152,521)","£ 6,240,000 (€ 7,253,196, $7,931,085)",
Juventus,Alex Sandro,BRA,DF,31.0,"€ 213,654 (£ 183,809, $233,622)","€ 11,110,000 (£ 9,558,048, $12,148,347)",
Leicester City,Alex Smithies,ENG,GK,32.0,"£ 30,000 (€ 34,871, $38,130)","£ 1,560,000 (€ 1,813,299, $1,982,771)",Unverified estimation
Real Sociedad,Alex Sola,ESP,DF,23.0,"€ 4,615 (£ 3,971, $5,047)","€ 240,000 (£ 206,474, $262,431)",Unverified estimation
Manchester Utd,Alex Telles,BRA,,30.0,"£ 37,500 (€ 43,589, $47,663)","£ 1,950,000 (€ 2,266,624, $2,478,464)",
Strasbourg,Alexander Djiku,GHA,DF,27.0,"€ 16,154 (£ 13,897, $17,664)","€ 840,000 (£ 722,661, $918,507)",
Mainz 05,Alexander Hack,GER,DF,28.0,"€ 10,577 (£ 9,099, $11,565)","€ 550,000 (£ 473,171, $601,403)",Unverified estimation
Newcastle United,Alexander Isak,SWE,FW,22.0,"£ 120,000 (€ 139,485, $152,521)","£ 6,240,000 (€ 7,253,196, $7,931,085)",
Dortmund,Alexander Meyer,GER,GK,31.0,"€ 10,962 (£ 9,430, $11,986)","€ 570,000 (£ 490,377, $623,273)",Unverified estimation
Monaco,Alexander Nübel,GER,GK,25.0,"€ 96,154 (£ 82,722, $105,140)","€ 5,000,000 (£ 4,301,552, $5,467,303)",
Schalke 04,Alexander Schwolow,GER,GK,30.0,"€ 16,923 (£ 14,559, $18,505)","€ 880,000 (£ 757,073, $962,245)",Unverified estimation
Real Sociedad,Alexander Sørloth,NOR,FW,26.0,"€ 60,385 (£ 51,950, $66,028)","€ 3,140,000 (£ 2,701,374, $3,433,466)",
Auxerre,Alexandre Coeff,FRA,DF,30.0,"€ 3,462 (£ 2,978, $3,785)","€ 180,000 (£ 154,856, $196,823)",Unverified estimation
Lyon,Alexandre Lacazette,FRA,FW,31.0,"€ 103,846 (£ 89,340, $113,552)","€ 5,400,000 (£ 4,645,676, $5,904,687)",
Paris Saint-Germain,Alexandre Letellier,FRA,GK,31.0,"€ 11,538 (£ 9,927, $12,617)","€ 600,000 (£ 516,186, $656,076)",
Strasbourg,Alexandre Pierre,HAI,GK,21.0,"€ 577 (£ 496, $631)","€ 30,000 (£ 25,809, $32,804)",Unverified estimation
Nice,Alexis Beka Beka,FRA,MF,21.0,"€ 6,923 (£ 5,956, $7,570)","€ 360,000 (£ 309,712, $393,646)",Unverified estimation
Lecce,Alexis Blin,FRA,MF,25.0,"€ 12,308 (£ 10,588, $13,458)","€ 640,000 (£ 550,599, $699,815)",
Lens,Alexis Claude-Maurice,FRA,"MF,FW",24.0,"€ 23,077 (£ 19,853, $25,234)","€ 1,200,000 (£ 1,032,372, $1,312,153)",Unverified estimation
Reims,Alexis Flips,FRA,"MF,DF",22.0,"€ 3,846 (£ 3,309, $4,206)","€ 200,000 (£ 172,062, $218,692)",Unverified estimation
Brighton,Alexis Mac Allister,ARG,MF,23.0,"£ 50,000 (€ 58,119, $63,550)","£ 2,600,000 (€ 3,022,165, $3,304,619)",Unverified estimation
Milan,Alexis Saelemaekers,BEL,"MF,FW",23.0,"€ 24,615 (£ 21,177, $26,916)","€ 1,280,000 (£ 1,101,197, $1,399,630)",
Inter,Alexis Sánchez,CHI,,33.0,"€ 110,962 (£ 95,461, $121,332)","€ 5,770,000 (£ 4,963,991, $6,309,268)",
Lille,Alexsandro Ribeiro,BRA,DF,22.0,"€ 15,000 (£ 12,905, $16,402)","€ 780,000 (£ 671,042, $852,899)",Unverified estimation
Tottenham Hotspur,Alfie Whiteman,ENG,GK,23.0,"£ 7,500 (€ 8,718, $9,533)","£ 390,000 (€ 453,325, $495,693)",Unverified estimation
Cádiz,Alfonso Espino,URU,DF,30.0,"€ 9,615 (£ 8,272, $10,514)","€ 500,000 (£ 430,155, $546,730)",Unverified estimation
Villarreal,Alfonso Pedraza,ESP,DF,26.0,"€ 42,308 (£ 36,398, $46,262)","€ 2,200,000 (£ 1,892,683, $2,405,613)",Unverified estimation
Fiorentina,Alfred Duncan,GHA,MF,29.0,"€ 46,346 (£ 39,872, $50,678)","€ 2,410,000 (£ 2,073,348, $2,635,240)",
Rennes,Alfred Gomis,SEN,GK,29.0,"€ 10,577 (£ 9,099, $11,565)","€ 550,000 (£ 473,171, $601,403)",Unverified estimation
Angers,Ali Kalla,FRA,RB,24.0,"€ 1,154 (£ 993, $1,262)","€ 60,000 (£ 51,619, $65,608)",Unverified estimation
Clermont Foot,Alidu Seidu,GHA,DF,22.0,"€ 5,769 (£ 4,963, $6,308)","€ 300,000 (£ 258,093, $328,038)",Unverified estimation
Liverpool,Alisson,BRA,GK,29.0,"£ 150,000 (€ 174,356, $190,651)","£ 7,800,000 (€ 9,066,495, $9,913,856)",
Newcastle United,Allan Saint-Maximin,FRA,FW,25.0,"£ 70,000 (€ 81,366, $88,971)","£ 3,640,000 (€ 4,231,031, $4,626,466)",
Eintracht Frankfurt,Almamy Touré,MLI,DF,26.0,"€ 32,692 (£ 28,126, $35,748)","€ 1,700,000 (£ 1,462,528, $1,858,883)",Unverified estimation
Stuttgart,Alou Kuol,AUS,FW,21.0,"€ 4,038 (£ 3,474, $4,416)","€ 210,000 (£ 180,665, $229,627)",Unverified estimation
West Ham United,Alphonse Areola,FRA,GK,29.0,"£ 120,000 (€ 139,485, $152,521)","£ 6,240,000 (€ 7,253,196, $7,931,085)",
Bayern Munich,Alphonso Davies,CAN,DF,21.0,"€ 216,346 (£ 186,125, $236,566)","€ 11,250,000 (£ 9,678,491, $12,301,432)",
RB Leipzig,Amadou Haidara,MLI,MF,24.0,"€ 19,231 (£ 16,544, $21,028)","€ 1,000,000 (£ 860,310, $1,093,461)",
Everton,Amadou Onana,BEL,MF,20.0,"£ 100,000 (€ 116,237, $127,101)","£ 5,200,000 (€ 6,044,330, $6,609,237)",
Troyes,Amar Abdirahman Ahmed,,LW,18.0,"€ 769 (£ 662, $841)","€ 40,000 (£ 34,412, $43,738)",Unverified estimation
Mallorca,Amath,SEN,"MF,FW",26.0,"€ 8,077 (£ 6,949, $8,832)","€ 420,000 (£ 361,330, $459,253)",Unverified estimation
Leverkusen,Amine Adli,MAR,MF,22.0,"€ 21,923 (£ 18,861, $23,972)","€ 1,140,000 (£ 980,754, $1,246,545)",Unverified estimation
Rennes,Amine Gouiri,ALG,"FW,MF",22.0,"€ 23,077 (£ 19,853, $25,234)","€ 1,200,000 (£ 1,032,372, $1,312,153)",Unverified estimation
Marseille,Amine Harit,MAR,"MF,FW",25.0,"€ 59,615 (£ 51,288, $65,187)","€ 3,100,000 (£ 2,666,962, $3,389,728)",Unverified estimation
Angers,Amine Salama,FRA,"FW,MF",22.0,"€ 4,615 (£ 3,971, $5,047)","€ 240,000 (£ 206,474, $262,431)",Unverified estimation
Napoli,Amir Rrahmani,KVX,DF,28.0,"€ 61,731 (£ 53,108, $67,500)","€ 3,210,000 (£ 2,761,596, $3,510,009)",
Werder Bremen,Amos Pieper,GER,DF,24.0,"€ 14,423 (£ 12,408, $15,771)","€ 750,000 (£ 645,233, $820,095)",Unverified estimation
Real Sociedad,Ander Barrenetxea,ESP,"DF,MF",20.0,"€ 12,500 (£ 10,754, $13,668)","€ 650,000 (£ 559,202, $710,749)",Unverified estimation
Athletic Club,Ander Capa,ESP,DF,30.0,"€ 23,077 (£ 19,853, $25,234)","€ 1,200,000 (£ 1,032,372, $1,312,153)",Unverified estimation
Real Sociedad,Ander Guevara,ESP,MF,25.0,"€ 16,731 (£ 14,394, $18,294)","€ 870,000 (£ 748,470, $951,311)",Unverified estimation
Athletic Club,Ander Herrera,ESP,MF,32.0,"€ 57,692 (£ 49,633, $63,084)","€ 3,000,000 (£ 2,580,931, $3,280,382)",Unverified estimation
Athletic Club,Ander Iru,,GK,24.0,"€ 3,846 (£ 3,309, $4,206)","€ 200,000 (£ 172,062, $218,692)",Unverified estimation
Real Sociedad,Andoni Gorosabel,ESP,DF,25.0,"€ 17,308 (£ 14,890, $18,925)","€ 900,000 (£ 774,279, $984,115)",Unverified estimation
Real Sociedad,Andoni Zubiaurre,ESP,GK,25.0,"€ 4,615 (£ 3,971, $5,047)","€ 240,000 (£ 206,474, $262,431)",Unverified estimation
Napoli,Andre-Frank Zambo Anguissa,CMR,MF,26.0,"€ 66,538 (£ 57,244, $72,757)","€ 3,460,000 (£ 2,976,674, $3,783,374)",
Monza,Andrea Barberis,ITA,MF,28.0,"€ 17,115 (£ 14,725, $18,715)","€ 890,000 (£ 765,676, $973,180)",Unverified estimation
Roma,Andrea Belotti,ITA,FW,28.0,"€ 85,385 (£ 73,457, $93,365)","€ 4,440,000 (£ 3,819,778, $4,854,965)",
Bologna,Andrea Cambiaso,ITA,"DF,MF",22.0,"€ 35,577 (£ 30,607, $38,902)","€ 1,850,000 (£ 1,591,574, $2,022,902)",Unverified estimation
Monza,Andrea Carboni,ITA,DF,21.0,"€ 17,885 (£ 15,386, $19,556)","€ 930,000 (£ 800,089, $1,016,918)",Unverified estimation
Monza,Andrea Colpani,ITA,MF,23.0,"€ 3,269 (£ 2,813, $3,575)","€ 170,000 (£ 146,253, $185,888)",Unverified estimation
Sassuolo,Andrea Consigli,ITA,GK,35.0,"€ 35,577 (£ 30,607, $38,902)","€ 1,850,000 (£ 1,591,574, $2,022,902)",
Sampdoria,Andrea Conti,ITA,"DF,MF",28.0,"€ 71,154 (£ 61,214, $77,804)","€ 3,700,000 (£ 3,183,148, $4,045,804)",
Monza,Andrea Petagna,ITA,FW,27.0,"€ 64,038 (£ 55,093, $70,024)","€ 3,330,000 (£ 2,864,833, $3,641,224)",
Sassuolo,Andrea Pinamonti,ITA,FW,23.0,"€ 85,385 (£ 73,457, $93,365)","€ 4,440,000 (£ 3,819,778, $4,854,965)",
Troyes,Andreas Bruus,DEN,"MF,DF",23.0,"€ 5,192 (£ 4,467, $5,678)","€ 270,000 (£ 232,284, $295,234)",Unverified estimation
Barcelona,Andreas Christensen,DEN,DF,26.0,"€ 173,077 (£ 148,900, $189,253)","€ 9,000,000 (£ 7,742,793, $9,841,145)",
Milan,Andreas Jungdal,DEN,GK,20.0,,,
Fulham,Andreas Pereira,BRA,MF,26.0,"£ 50,000 (€ 58,119, $63,550)","£ 2,600,000 (€ 3,022,165, $3,304,619)",Unverified estimation
Nantes,Andrei Girotto,BRA,"DF,MF",30.0,"€ 20,769 (£ 17,868, $22,710)","€ 1,080,000 (£ 929,135, $1,180,937)",
Salernitana,Andrei Motoc,MDA,DF,20.0,"€ 1,077 (£ 926, $1,178)","€ 56,000 (£ 48,177, $61,234)",Unverified estimation
Hoffenheim,Andrej Kramarić,CRO,"MF,FW",31.0,"€ 55,769 (£ 47,979, $60,981)","€ 2,900,000 (£ 2,494,900, $3,171,036)",Unverified estimation
Torino,Andrew Gravillon,GLP,DF,24.0,"€ 1,731 (£ 1,489, $1,893)","€ 90,000 (£ 77,428, $98,411)",Unverified estimation
Liverpool,Andrew Robertson,SCO,DF,28.0,"£ 100,000 (€ 116,237, $127,101)","£ 5,200,000 (€ 6,044,330, $6,609,237)",
Leverkusen,Andrey Lunyov,RUS,GK,30.0,"€ 23,846 (£ 20,515, $26,075)","€ 1,240,000 (£ 1,066,785, $1,355,891)",Unverified estimation
Real Madrid,Andriy Lunin,UKR,GK,23.0,"€ 54,038 (£ 46,490, $59,089)","€ 2,810,000 (£ 2,417,472, $3,072,624)",
