Team,Player,Nation,Pos,Age,Weekly Wages,Annual Wages,Notes
West Ham United,Aaron Cresswell,ENG,DF,32.0,"£ 50,000 (€ 58,119, $63,550)","£ 2,600,000 (€ 3,022,165, $3,304,619)",
Brentford,Aaron Hickey,SCO,DF,20.0,"£ 30,000 (€ 34,871, $38,130)","£ 1,560,000 (€ 1,813,299, $1,982,771)",Unverified estimation
Arsenal,Aaron Ramsdale,ENG,GK,24.0,"£ 120,000 (€ 139,485, $152,521)","£ 6,240,000 (€ 7,253,196, $7,931,085)",
Juventus,Aaron Ramsey,WAL,,31.0,"€ 74,038 (£ 63,696, $80,958)","€ 3,850,000 (£ 3,312,195, $4,209,823)",Unverified estimation
Manchester Utd,Aaron Wan-Bissaka,COD,DF,24.0,"£ 90,000 (€ 104,613, $114,391)","£ 4,680,000 (€ 5,439,897, $5,948,314)",
Augsburg,Aaron Zehnter,GER,MF,17.0,"€ 962 (£ 827, $1,051)","€ 50,000 (£ 43,016, $54,673)",Unverified estimation
Mainz 05,Aarón Martín,ESP,"MF,DF",25.0,"€ 38,462 (£ 33,089, $42,056)","€ 2,000,000 (£ 1,720,621, $2,186,921)",Unverified estimation
Angers,Abdallah Sima,SEN,FW,21.0,"€ 23,846 (£ 20,515, $26,075)","€ 1,240,000 (£ 1,066,785, $1,355,891)",Unverified estimation
Osasuna,Abde Ezzalzouli,MAR,"FW,MF",20.0,"€ 3,462 (£ 2,978, $3,785)","€ 180,000 (£ 154,856, $196,823)",Unverified estimation
Sampdoria,Abdelhamid Sabiri,MAR,MF,25.0,"€ 2,115 (£ 1,820, $2,313)","€ 110,000 (£ 94,634, $120,281)",Unverified estimation
RB Leipzig,Abdou Diallo,SEN,DF,26.0,"€ 103,846 (£ 89,340, $113,552)","€ 5,400,000 (£ 4,645,676, $5,904,687)",
Sassuolo,Abdou Harroui,NED,MF,24.0,"€ 2,308 (£ 1,985, $2,523)","€ 120,000 (£ 103,237, $131,215)",Unverified estimation
Nantes,Abdoul Kader Bamba,FRA,MF,28.0,"€ 6,154 (£ 5,294, $6,729)","€ 320,000 (£ 275,299, $349,907)",Unverified estimation
Angers,Abdoulaye Bamba,CIV,DF,32.0,"€ 6,346 (£ 5,460, $6,939)","€ 330,000 (£ 283,902, $360,842)",Unverified estimation
Everton,Abdoulaye Doucouré,MLI,MF,29.0,"£ 120,000 (€ 139,485, $152,521)","£ 6,240,000 (€ 7,253,196, $7,931,085)",
Dortmund,Abdoulaye Kamara,GUI,MF,17.0,"€ 2,885 (£ 2,482, $3,154)","€ 150,000 (£ 129,047, $164,019)",Unverified estimation
Troyes,Abdu Conté,POR,"DF,MF",24.0,"€ 13,462 (£ 11,581, $14,720)","€ 700,000 (£ 602,217, $765,422)",Unverified estimation
Rayo Vallecano,Abdul Mumin,GHA,DF,24.0,"€ 6,731 (£ 5,791, $7,360)","€ 350,000 (£ 301,109, $382,711)",Unverified estimation
Mallorca,Abdón Prats,ESP,FW,29.0,"€ 4,423 (£ 3,805, $4,836)","€ 230,000 (£ 197,871, $251,496)",Unverified estimation
Brest,Achraf Dari,MAR,DF,23.0,"€ 9,231 (£ 7,941, $10,093)","€ 480,000 (£ 412,949, $524,861)",Unverified estimation
Paris Saint-Germain,Achraf Hakimi,MAR,"MF,DF",23.0,"€ 279,808 (£ 240,721, $305,959)","€ 14,550,000 (£ 12,517,516, $15,909,852)",
Southampton,Adam Armstrong,ENG,"MF,FW",25.0,"£ 55,000 (€ 63,930, $69,905)","£ 2,860,000 (€ 3,324,382, $3,635,081)",Unverified estimation
Lens,Adam Buksa,POL,FW,26.0,"€ 19,615 (£ 16,875, $21,449)","€ 1,020,000 (£ 877,517, $1,115,330)",Unverified estimation
Leeds United,Adam Forshaw,ENG,MF,30.0,"£ 20,000 (€ 23,247, $25,420)","£ 1,040,000 (€ 1,208,866, $1,321,847)",
Leverkusen,Adam Hložek,CZE,"MF,FW",20.0,"€ 36,154 (£ 31,104, $39,533)","€ 1,880,000 (£ 1,617,383, $2,055,706)",Unverified estimation
Lille,Adam Jakubech,SVK,GK,25.0,"€ 4,808 (£ 4,136, $5,257)","€ 250,000 (£ 215,078, $273,365)",Unverified estimation
Brighton,Adam Lallana,ENG,MF,34.0,"£ 90,000 (€ 104,613, $114,391)","£ 4,680,000 (€ 5,439,897, $5,948,314)",
Lazio,Adam Marušić,MNE,DF,29.0,"€ 32,115 (£ 27,629, $35,117)","€ 1,670,000 (£ 1,436,718, $1,826,079)",
Udinese,Adam Masina,MAR,"DF,MF",28.0,"€ 22,115 (£ 19,026, $24,182)","€ 1,150,000 (£ 989,357, $1,257,480)",Unverified estimation
Lens,Adam Oudjani,ALG,AM,21.0,"€ 962 (£ 827, $1,051)","€ 50,000 (£ 43,016, $54,673)",Unverified estimation
Lille,Adam Ounas,ALG,MF,25.0,"€ 52,500 (£ 45,166, $57,407)","€ 2,730,000 (£ 2,348,647, $2,985,147)",Unverified estimation
Bournemouth,Adam Smith,ENG,DF,31.0,"£ 35,000 (€ 40,683, $44,485)","£ 1,820,000 (€ 2,115,516, $2,313,233)",
Brighton,Adam Webster,ENG,DF,27.0,"£ 55,000 (€ 63,930, $69,905)","£ 2,860,000 (€ 3,324,382, $3,635,081)",Unverified estimation
Bologna,Adama Soumaoro,FRA,DF,30.0,"€ 26,731 (£ 22,997, $29,229)","€ 1,390,000 (£ 1,195,831, $1,519,910)",
Wolves,Adama Traoré,ESP,"MF,FW",26.0,"£ 55,000 (€ 63,930, $69,905)","£ 2,860,000 (€ 3,324,382, $3,635,081)",
Atalanta,Ademola Lookman,NGA,"FW,MF",24.0,"€ 44,423 (£ 38,218, $48,575)","€ 2,310,000 (£ 1,987,317, $2,525,894)",
Lorient,Adil Aouchiche,FRA,MF,20.0,"€ 6,923 (£ 5,956, $7,570)","€ 360,000 (£ 309,712, $393,646)",Unverified estimation
Troyes,Adil Rami,FRA,DF,36.0,"€ 15,000 (£ 12,905, $16,402)","€ 780,000 (£ 671,042, $852,899)",
Sevilla,Adnan Januzaj,BEL,"FW,MF",27.0,"€ 60,000 (£ 51,619, $65,608)","€ 3,120,000 (£ 2,684,168, $3,411,597)",Unverified estimation
Toulouse,Ado Onaiwu,JPN,"FW,MF",26.0,"€ 11,538 (£ 9,927, $12,617)","€ 600,000 (£ 516,186, $656,076)",Unverified estimation
Hellas Verona,Adolfo Gaich,ARG,FW,23.0,"€ 23,654 (£ 20,350, $25,865)","€ 1,230,000 (£ 1,058,182, $1,344,957)",Unverified estimation
Almería,Adri Embarba,ESP,"FW,MF",30.0,"€ 18,462 (£ 15,883, $20,187)","€ 960,000 (£ 825,898, $1,049,722)",Unverified estimation
Lorient,Adrian Grbić,AUT,"FW,MF",25.0,"€ 9,808 (£ 8,438, $10,724)","€ 510,000 (£ 438,758, $557,665)",Unverified estimation
Angers,Adrien Hunou,FRA,"MF,FW",28.0,"€ 18,462 (£ 15,883, $20,187)","€ 960,000 (£ 825,898, $1,049,722)",Unverified estimation
Lens,Adrien Louveau,FRA,MF,22.0,"€ 577 (£ 496, $631)","€ 30,000 (£ 25,809, $32,804)",Unverified estimation
Juventus,Adrien Rabiot,FRA,MF,27.0,"€ 172,500 (£ 148,404, $188,622)","€ 8,970,000 (£ 7,716,984, $9,808,342)",
Hellas Verona,Adrien Tameze,CMR,MF,28.0,"€ 12,308 (£ 10,588, $13,458)","€ 640,000 (£ 550,599, $699,815)",
Strasbourg,Adrien Thomasson,FRA,"MF,FW",28.0,"€ 8,462 (£ 7,280, $9,252)","€ 440,000 (£ 378,537, $481,123)",Unverified estimation
Rennes,Adrien Truffert,FRA,DF,20.0,"€ 2,885 (£ 2,482, $3,154)","€ 150,000 (£ 129,047, $164,019)",Unverified estimation
Espanyol,Adrià Pedrosa,ESP,DF,24.0,"€ 9,615 (£ 8,272, $10,514)","€ 500,000 (£ 430,155, $546,730)",Unverified estimation
Liverpool,Adrián,ESP,GK,35.0,"£ 60,000 (€ 69,742, $76,260)","£ 3,120,000 (€ 3,626,598, $3,965,542)",Unverified estimation
Celta Vigo,Agustín Marchesín,ARG,GK,34.0,"€ 24,231 (£ 20,846, $26,495)","€ 1,260,000 (£ 1,083,991, $1,377,760)",Unverified estimation
Hertha BSC,Agustín Rogel,URU,DF,24.0,"€ 21,923 (£ 18,861, $23,972)","€ 1,140,000 (£ 980,754, $1,246,545)",Unverified estimation
Sassuolo,Agustín Álvarez,URU,FW,21.0,"€ 24,615 (£ 21,177, $26,916)","€ 1,280,000 (£ 1,101,197, $1,399,630)",Unverified estimation
Real Sociedad,Aihen Muñoz,ESP,DF,24.0,"€ 16,538 (£ 14,228, $18,084)","€ 860,000 (£ 739,867, $940,376)",Unverified estimation
Osasuna,Aimar Oroz,ESP,"MF,FW",20.0,"€ 6,923 (£ 5,956, $7,570)","€ 360,000 (£ 309,712, $393,646)",Unverified estimation
Spezia,Aimar Sher,IRQ,MF,19.0,"€ 3,654 (£ 3,143, $3,995)","€ 190,000 (£ 163,459, $207,758)",Unverified estimation
Southampton,Ainsley Maitland-Niles,ENG,"DF,MF",24.0,"£ 35,000 (€ 40,683, $44,485)","£ 1,820,000 (€ 2,115,516, $2,313,233)",
Osasuna,Aitor Fernández,ESP,GK,31.0,"€ 28,846 (£ 24,817, $31,542)","€ 1,500,000 (£ 1,290,466, $1,640,191)",Unverified estimation
Athletic Club,Aitor Paredes,ESP,DF,22.0,"€ 2,885 (£ 2,482, $3,154)","€ 150,000 (£ 129,047, $164,019)",Unverified estimation
Real Betis,Aitor Ruibal,ESP,"DF,MF",26.0,"€ 11,538 (£ 9,927, $12,617)","€ 600,000 (£ 516,186, $656,076)",Unverified estimation
Hellas Verona,Ajdin Hrustic,AUS,MF,26.0,"€ 7,308 (£ 6,287, $7,991)","€ 380,000 (£ 326,918, $415,515)",Unverified estimation
Auxerre,Akim Zedadka,ALG,"MF,DF",27.0,"€ 15,000 (£ 12,905, $16,402)","€ 780,000 (£ 671,042, $852,899)",Unverified estimation
