Team,Player,Nation,Pos,Age,Weekly Wages,Annual Wages,Notes
West Ham United,Aaron Cresswell,ENG,DF,33.0,"£ 50,000 (€ 59,184, $63,602)","£ 2,600,000 (€ 3,077,584, $3,307,300)",
Brentford,Aaron Hickey,SCO,"DF,MF",21.0,"£ 30,000 (€ 35,511, $38,161)","£ 1,560,000 (€ 1,846,551, $1,984,380)",Unverified estimation
Arsenal,Aaron Ramsdale,ENG,GK,25.0,"£ 120,000 (€ 142,042, $152,645)","£ 6,240,000 (€ 7,386,203, $7,937,520)",
Burnley,Aaron Ramsey,ENG,MF,20.0,"£ 25,000 (€ 29,592, $31,801)","£ 1,300,000 (€ 1,538,792, $1,653,650)",Unverified estimation
Darmstadt 98,Aaron Seydel,GER,FW,27.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Manchester Utd,Aaron Wan-Bissaka,COD,DF,25.0,"£ 90,000 (€ 106,532, $114,483)","£ 4,680,000 (€ 5,539,652, $5,953,140)",
Augsburg,Aaron Zehnter,GER,LB,18.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Las Palmas,Aarón Escandell,ESP,GK,27.0,"€ 9,615 (£ 8,123, $10,333)","€ 500,000 (£ 422,415, $537,322)",Unverified estimation
Genoa,Aarón Martín,ESP,"MF,DF",26.0,"€ 24,615 (£ 20,796, $26,453)","€ 1,280,000 (£ 1,081,381, $1,375,545)",
Strasbourg,Abakar Sylla,CIV,DF,20.0,"€ 17,308 (£ 14,622, $18,600)","€ 900,000 (£ 760,346, $967,180)",Unverified estimation
Alavés,Abdallahi Mahmoud,MTN,CM,23.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Real Betis,Abde Ezzalzouli,MAR,MF,21.0,"€ 15,385 (£ 12,997, $16,533)","€ 800,000 (£ 675,863, $859,716)",Unverified estimation
Alavés,Abde Rebbach,ALG,MF,24.0,"€ 6,154 (£ 5,199, $6,613)","€ 320,000 (£ 270,345, $343,886)",Unverified estimation
Alavés,Abdel Abqar,MAR,DF,24.0,"€ 7,115 (£ 6,011, $7,647)","€ 370,000 (£ 312,587, $397,619)",Unverified estimation
Frosinone,Abdou Harroui,NED,MF,25.0,"€ 14,808 (£ 12,510, $15,913)","€ 770,000 (£ 650,518, $827,476)",
Nantes,Abdoul Kader Bamba,FRA,MF,29.0,"€ 6,154 (£ 5,199, $6,613)","€ 320,000 (£ 270,345, $343,886)",Unverified estimation
Everton,Abdoulaye Doucouré,MLI,MF,30.0,"£ 130,000 (€ 153,879, $165,365)","£ 6,760,000 (€ 8,001,719, $8,598,980)",
Dortmund,Abdoulaye Kamara,GUI,DM,19.0,"€ 3,462 (£ 2,924, $3,720)","€ 180,000 (£ 152,069, $193,436)",Unverified estimation
