Team,Player,Nation,Pos,Age,Weekly Wages,Annual Wages,Notes
Le Havre,Abdoulaye Touré,GUI,MF,29.0,"€ 21,154 (£ 17,871, $22,733)","€ 1,100,000 (£ 929,312, $1,182,109)",Unverified estimation
Lens,Abdukodir Khusanov,UZB,DF,19.0,"€ 2,692 (£ 2,275, $2,893)","€ 140,000 (£ 118,276, $150,450)",Unverified estimation
Rayo Vallecano,Abdul Mumin,GHA,DF,25.0,"€ 6,731 (£ 5,686, $7,233)","€ 350,000 (£ 295,690, $376,126)",Unverified estimation
Mallorca,Abdón Prats,ESP,FW,30.0,"€ 7,308 (£ 6,174, $7,853)","€ 380,000 (£ 321,035, $408,365)",Unverified estimation
Metz,Ablie Jallow,GAM,"MF,FW",24.0,"€ 6,923 (£ 5,849, $7,440)","€ 360,000 (£ 304,138, $386,872)",Unverified estimation
Real Betis,Abner,BRA,DF,23.0,"€ 19,231 (£ 16,247, $20,666)","€ 1,000,000 (£ 844,829, $1,074,645)",Unverified estimation
Metz,Abou Lô,SEN,"MF,DF",23.0,"€ 9,038 (£ 7,636, $9,713)","€ 470,000 (£ 397,070, $505,083)",Unverified estimation
Brest,Achraf Dari,MAR,DF,24.0,"€ 9,231 (£ 7,798, $9,920)","€ 480,000 (£ 405,518, $515,829)",Unverified estimation
Paris Saint-Germain,Achraf Hakimi,MAR,DF,24.0,"€ 279,808 (£ 236,390, $300,694)","€ 14,550,000 (£ 12,292,263, $15,636,080)",
Lyon,Achraf Laâziri,MAR,LB,20.0,"€ 2,500 (£ 2,112, $2,687)","€ 130,000 (£ 109,828, $139,704)",Unverified estimation
Sheffield United,Adam Davies,WAL,GK,31.0,"£ 25,000 (€ 29,592, $31,801)","£ 1,300,000 (€ 1,538,792, $1,653,650)",Unverified estimation
Leverkusen,Adam Hložek,CZE,"FW,MF",21.0,"€ 36,154 (£ 30,544, $38,853)","€ 1,880,000 (£ 1,588,279, $2,020,332)",Unverified estimation
Lille,Adam Jakubech,SVK,GK,26.0,"€ 4,808 (£ 4,062, $5,167)","€ 250,000 (£ 211,207, $268,661)",Unverified estimation
Brighton,Adam Lallana,ENG,MF,35.0,"£ 90,000 (€ 106,532, $114,483)","£ 4,680,000 (€ 5,539,652, $5,953,140)",
Lazio,Adam Marušić,MNE,DF,30.0,"€ 32,115 (£ 27,132, $34,513)","€ 1,670,000 (£ 1,410,865, $1,794,657)",
Udinese,Adam Masina,MAR,MF,29.0,"€ 22,115 (£ 18,684, $23,766)","€ 1,150,000 (£ 971,553, $1,235,841)",Unverified estimation
Cagliari,Adam Obert,SVK,DF,20.0,"€ 14,231 (£ 12,023, $15,293)","€ 740,000 (£ 625,174, $795,237)",Unverified estimation
Lille,Adam Ounas,ALG,MF,26.0,"€ 52,500 (£ 44,354, $56,419)","€ 2,730,000 (£ 2,306,383, $2,933,780)",Unverified estimation
Bournemouth,Adam Smith,ENG,DF,32.0,"£ 35,000 (€ 41,429, $44,521)","£ 1,820,000 (€ 2,154,309, $2,315,110)",
Brighton,Adam Webster,ENG,DF,28.0,"£ 55,000 (€ 65,103, $69,962)","£ 2,860,000 (€ 3,385,343, $3,638,030)",Unverified estimation
Reims,Adama Bojang,GAM,FW,19.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Bologna,Adama Soumaoro,FRA,DF,31.0,"€ 26,731 (£ 22,583, $28,726)","€ 1,390,000 (£ 1,174,312, $1,493,756)",
Fulham,Adama Traoré,ESP,MF,27.0,"£ 65,000 (€ 76,940, $82,683)","£ 3,380,000 (€ 4,000,860, $4,299,490)",Unverified estimation
Atalanta,Ademola Lookman,NGA,"FW,MF",25.0,"€ 44,423 (£ 37,530, $47,739)","€ 2,310,000 (£ 1,951,555, $2,482,429)",
Sevilla,Adnan Januzaj,BEL,"FW,MF",28.0,"€ 61,538 (£ 51,989, $66,132)","€ 3,200,000 (£ 2,703,453, $3,438,863)",
Almería,Adri Embarba,ESP,"MF,FW",31.0,"€ 18,462 (£ 15,597, $19,840)","€ 960,000 (£ 811,036, $1,031,659)",Unverified estimation
Heidenheim,Adrian Beck,GER,MF,26.0,"€ 3,462 (£ 2,924, $3,720)","€ 180,000 (£ 152,069, $193,436)",Unverified estimation
Lorient,Adrian Grbić,AUT,"FW,MF",26.0,"€ 18,462 (£ 15,597, $19,840)","€ 960,000 (£ 811,036, $1,031,659)",Unverified estimation
Brest,Adrien Lebeau,FRA,MF,24.0,"€ 3,846 (£ 3,249, $4,133)","€ 200,000 (£ 168,966, $214,929)",Unverified estimation
Juventus,Adrien Rabiot,FRA,MF,28.0,"€ 172,500 (£ 145,733, $185,376)","€ 8,970,000 (£ 7,578,117, $9,639,563)",
Torino,Adrien Tameze,CMR,"DF,MF",29.0,"€ 24,615 (£ 20,796, $26,453)","€ 1,280,000 (£ 1,081,381, $1,375,545)",
Lens,Adrien Thomasson,FRA,MF,29.0,"€ 20,769 (£ 17,546, $22,320)","€ 1,080,000 (£ 912,415, $1,160,616)",Unverified estimation
Rennes,Adrien Truffert,FRA,"DF,MF",21.0,"€ 19,231 (£ 16,247, $20,666)","€ 1,000,000 (£ 844,829, $1,074,645)",Unverified estimation
Sevilla,Adrià Pedrosa,ESP,"MF,DF",25.0,"€ 21,154 (£ 17,871, $22,733)","€ 1,100,000 (£ 929,312, $1,182,109)",Unverified estimation
Liverpool,Adrián,ESP,GK,36.0,"£ 60,000 (€ 71,021, $76,322)","£ 3,120,000 (€ 3,693,101, $3,968,760)",Unverified estimation
Nantes,Adson,BRA,MF,22.0,"€ 17,308 (£ 14,622, $18,600)","€ 900,000 (£ 760,346, $967,180)",Unverified estimation
Athletic Club,Adu Ares,ESP,MF,21.0,"€ 8,077 (£ 6,824, $8,680)","€ 420,000 (£ 354,828, $451,351)",Unverified estimation
Celta Vigo,Agustín Marchesín,ARG,GK,35.0,"€ 26,923 (£ 22,745, $28,933)","€ 1,400,000 (£ 1,182,761, $1,504,503)",Unverified estimation
Salernitana,Agustín Martegani,ARG,MF,23.0,"€ 6,731 (£ 5,686, $7,233)","€ 350,000 (£ 295,690, $376,126)",Unverified estimation
Sassuolo,Agustín Álvarez,URU,FW,22.0,"€ 24,615 (£ 20,796, $26,453)","€ 1,280,000 (£ 1,081,381, $1,375,545)",Unverified estimation
Lecce,Ahmed Touba,ALG,DF,25.0,"€ 5,385 (£ 4,549, $5,787)","€ 280,000 (£ 236,552, $300,901)",Unverified estimation
Real Sociedad,Aihen Muñoz,ESP,DF,25.0,"€ 16,538 (£ 13,972, $17,773)","€ 860,000 (£ 726,553, $924,194)",Unverified estimation
Osasuna,Aimar Oroz,ESP,MF,21.0,"€ 6,923 (£ 5,849, $7,440)","€ 360,000 (£ 304,138, $386,872)",Unverified estimation
Lyon,Ainsley Maitland-Niles,ENG,"DF,MF",25.0,"€ 42,308 (£ 35,743, $45,466)","€ 2,200,000 (£ 1,858,624, $2,364,218)",Unverified estimation
Osasuna,Aitor Fernández,ESP,GK,32.0,"€ 13,462 (£ 11,373, $14,466)","€ 700,000 (£ 591,380, $752,251)",Unverified estimation
Athletic Club,Aitor Paredes,ESP,DF,23.0,"€ 2,885 (£ 2,437, $3,100)","€ 150,000 (£ 126,724, $161,197)",Unverified estimation
Real Betis,Aitor Ruibal,ESP,"DF,MF",27.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Hellas Verona,Ajdin Hrustic,AUS,AM,27.0,"€ 7,308 (£ 6,174, $7,853)","€ 380,000 (£ 321,035, $408,365)",Unverified estimation
Lille,Akim Zedadka,ALG,DF,28.0,"€ 15,000 (£ 12,672, $16,120)","€ 780,000 (£ 658,967, $838,223)",Unverified estimation
Montpellier,Akor Adams,NGA,FW,23.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Strasbourg,Alaa Bellaarouch,MAR,GK,21.0,"€ 3,077 (£ 2,599, $3,307)","€ 160,000 (£ 135,173, $171,943)",Unverified estimation
Genoa,Alan Matturro,URU,MF,18.0,"€ 9,808 (£ 8,286, $10,540)","€ 510,000 (£ 430,863, $548,069)",Unverified estimation
Lille,Alan Virginius,FRA,MF,20.0,"€ 5,192 (£ 4,387, $5,580)","€ 270,000 (£ 228,104, $290,154)",Unverified estimation
Gladbach,Alassane Pléa,FRA,"FW,MF",30.0,"€ 90,769 (£ 76,684, $97,545)","€ 4,720,000 (£ 3,987,593, $5,072,323)",
Nantes,Alban Lafont,CIV,GK,24.0,"€ 28,846 (£ 24,370, $30,999)","€ 1,500,000 (£ 1,267,244, $1,611,967)",Unverified estimation
Genoa,Albert Guðmundsson,ISL,"FW,MF",26.0,"€ 29,615 (£ 25,020, $31,826)","€ 1,540,000 (£ 1,301,037, $1,654,953)",
Luton Town,Albert Sambi Lokonga,BEL,MF,23.0,"£ 50,000 (€ 59,184, $63,602)","£ 2,600,000 (€ 3,077,584, $3,307,300)",Unverified estimation
Cagliari,Alberto Dossena,ITA,DF,24.0,"€ 14,231 (£ 12,023, $15,293)","€ 740,000 (£ 625,174, $795,237)",Unverified estimation
Empoli,Alberto Grassi,ITA,MF,28.0,"€ 25,000 (£ 21,121, $26,866)","€ 1,300,000 (£ 1,098,278, $1,397,038)",
Valencia,Alberto Marí,ESP,FW,22.0,"€ 8,077 (£ 6,824, $8,680)","€ 420,000 (£ 354,828, $451,351)",Unverified estimation
Las Palmas,Alberto Moleiro,ESP,"MF,FW",19.0,"€ 3,654 (£ 3,087, $3,927)","€ 190,000 (£ 160,518, $204,182)",Unverified estimation
Villarreal,Alberto Moreno,ESP,DF,31.0,"€ 26,923 (£ 22,745, $28,933)","€ 1,400,000 (£ 1,182,761, $1,504,503)",Unverified estimation
Granada,Alberto Perea,ESP,"FW,MF",32.0,"€ 13,846 (£ 11,698, $14,880)","€ 720,000 (£ 608,277, $773,744)",Unverified estimation
Girona,Aleix García,ESP,MF,26.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",Unverified estimation
Barcelona,Alejandro Balde,ESP,DF,19.0,"€ 32,115 (£ 27,132, $34,513)","€ 1,670,000 (£ 1,410,865, $1,794,657)",Unverified estimation
Manchester Utd,Alejandro Garnacho,ARG,MF,19.0,"£ 50,000 (€ 59,184, $63,602)","£ 2,600,000 (€ 3,077,584, $3,307,300)",
Almería,Alejandro Pozo Pozo,ESP,"DF,MF",24.0,"€ 13,846 (£ 11,698, $14,880)","€ 720,000 (£ 608,277, $773,744)",Unverified estimation
Tottenham Hotspur,Alejo Véliz,ARG,FW,19.0,"£ 25,000 (€ 29,592, $31,801)","£ 1,300,000 (€ 1,538,792, $1,653,650)",Unverified estimation
Alavés,Aleksandar Sedlar,SRB,DF,31.0,"€ 14,038 (£ 11,860, $15,086)","€ 730,000 (£ 616,725, $784,491)",Unverified estimation
Monaco,Aleksandr Golovin,RUS,MF,27.0,"€ 92,308 (£ 77,984, $99,198)","€ 4,800,000 (£ 4,055,180, $5,158,295)",Unverified estimation
Fiorentina,Aleksandr Kokorin,RUS,"FW,MF",32.0,"€ 41,923 (£ 35,418, $45,052)","€ 2,180,000 (£ 1,841,727, $2,342,725)",
Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27.0,"€ 53,462 (£ 45,166, $57,452)","€ 2,780,000 (£ 2,348,625, $2,987,512)",
Inter,Alessandro Bastoni,ITA,DF,24.0,"€ 195,962 (£ 165,554, $210,589)","€ 10,190,000 (£ 8,608,808, $10,950,629)",
Hellas Verona,Alessandro Berardi,ITA,GK,32.0,"€ 8,846 (£ 7,473, $9,506)","€ 460,000 (£ 388,621, $494,337)",Unverified estimation
Torino,Alessandro Buongiorno,ITA,DF,24.0,"€ 28,462 (£ 24,045, $30,586)","€ 1,480,000 (£ 1,250,347, $1,590,474)",
Cagliari,Alessandro Deiola,ITA,MF,27.0,"€ 14,231 (£ 12,023, $15,293)","€ 740,000 (£ 625,174, $795,237)",Unverified estimation
Cagliari,Alessandro Di Pardo,ITA,"MF,DF",24.0,"€ 5,385 (£ 4,549, $5,787)","€ 280,000 (£ 236,552, $300,901)",Unverified estimation
Milan,Alessandro Florenzi,ITA,DF,32.0,"€ 106,923 (£ 90,332, $114,904)","€ 5,560,000 (£ 4,697,250, $5,975,025)",
Monza,Alessandro Sorrentino,ITA,GK,21.0,"€ 3,269 (£ 2,762, $3,513)","€ 170,000 (£ 143,621, $182,690)",Unverified estimation
Genoa,Alessandro Vogliacco,ITA,DF,24.0,"€ 3,654 (£ 3,087, $3,927)","€ 190,000 (£ 160,518, $204,182)",
Napoli,Alessandro Zanoli,ITA,MF,22.0,"€ 14,231 (£ 12,023, $15,293)","€ 740,000 (£ 625,174, $795,237)",Unverified estimation
Sassuolo,Alessio Cragno,ITA,GK,29.0,"€ 35,577 (£ 30,056, $38,233)","€ 1,850,000 (£ 1,562,934, $1,988,093)",
Lazio,Alessio Romagnoli,ITA,DF,28.0,"€ 106,923 (£ 90,332, $114,904)","€ 5,560,000 (£ 4,697,250, $5,975,025)",
Napoli,Alessio Zerbin,ITA,"FW,MF",24.0,"€ 6,346 (£ 5,361, $6,820)","€ 330,000 (£ 278,794, $354,633)",
Villarreal,Alex Baena,ESP,"MF,FW",22.0,"€ 38,462 (£ 32,493, $41,332)","€ 2,000,000 (£ 1,689,658, $2,149,289)",Unverified estimation
Fulham,Alex Iwobi,NGA,MF,27.0,"£ 80,000 (€ 94,695, $101,763)","£ 4,160,000 (€ 4,924,135, $5,291,680)",Unverified estimation
Union Berlin,Alex Král,CZE,MF,25.0,"€ 34,423 (£ 29,082, $36,993)","€ 1,790,000 (£ 1,512,244, $1,923,614)",Unverified estimation
Napoli,Alex Meret,ITA,GK,26.0,"€ 53,462 (£ 45,166, $57,452)","€ 2,780,000 (£ 2,348,625, $2,987,512)",
Nottingham Forest,Alex Mighten,ENG,LW,21.0,"£ 3,462 (€ 4,097, $4,403)","£ 180,000 (€ 213,064, $228,967)",
Juventus,Alex Sandro,BRA,DF,32.0,"€ 213,654 (£ 180,501, $229,602)","€ 11,110,000 (£ 9,386,051, $11,939,303)",
Bournemouth,Alex Scott,ENG,MF,19.0,"£ 40,000 (€ 47,347, $50,882)","£ 2,080,000 (€ 2,462,068, $2,645,840)",Unverified estimation
Alavés,Alex Sola,ESP,MF,24.0,"€ 4,615 (£ 3,899, $4,960)","€ 240,000 (£ 202,759, $257,915)",Unverified estimation
Darmstadt 98,Alexander Brunst,GER,GK,28.0,"€ 4,615 (£ 3,899, $4,960)","€ 240,000 (£ 202,759, $257,915)",Unverified estimation
Girona,Alexander Callens,PER,CB,31.0,"€ 14,423 (£ 12,185, $15,500)","€ 750,000 (£ 633,622, $805,984)",Unverified estimation
Newcastle United,Alexander Isak,SWE,FW,23.0,"£ 120,000 (€ 142,042, $152,645)","£ 6,240,000 (€ 7,386,203, $7,937,520)",
Dortmund,Alexander Meyer,GER,GK,32.0,"€ 10,962 (£ 9,261, $11,780)","€ 570,000 (£ 481,553, $612,547)",Unverified estimation
Stuttgart,Alexander Nübel,GER,GK,26.0,"€ 67,308 (£ 56,864, $72,332)","€ 3,500,000 (£ 2,956,902, $3,761,256)",
Union Berlin,Alexander Schwolow,GER,GK,31.0,"€ 17,308 (£ 14,622, $18,600)","€ 900,000 (£ 760,346, $967,180)",Unverified estimation
Villarreal,Alexander Sørloth,NOR,FW,27.0,"€ 69,231 (£ 58,488, $74,398)","€ 3,600,000 (£ 3,041,385, $3,868,721)",Unverified estimation
Lyon,Alexandre Lacazette,FRA,FW,32.0,"€ 115,385 (£ 97,480, $123,997)","€ 6,000,000 (£ 5,068,974, $6,447,868)",
Paris Saint-Germain,Alexandre Letellier,FRA,GK,32.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",
Reims,Alexandre Olliero,FRA,GK,27.0,"€ 6,154 (£ 5,199, $6,613)","€ 320,000 (£ 270,345, $343,886)",Unverified estimation
Metz,Alexandre Oukidja,ALG,GK,35.0,"€ 9,615 (£ 8,123, $10,333)","€ 500,000 (£ 422,415, $537,322)",
Strasbourg,Alexandre Pierre,HAI,GK,22.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Lecce,Alexandru Borbei,ROU,GK,20.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Nice,Alexis Beka Beka,FRA,MF,22.0,"€ 6,923 (£ 5,849, $7,440)","€ 360,000 (£ 304,138, $386,872)",Unverified estimation
Lecce,Alexis Blin,FRA,MF,26.0,"€ 12,308 (£ 10,398, $13,226)","€ 640,000 (£ 540,691, $687,773)",
Nice,Alexis Claude-Maurice,FRA,MF,25.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",Unverified estimation
Liverpool,Alexis Mac Allister,ARG,MF,24.0,"£ 150,000 (€ 177,553, $190,806)","£ 7,800,000 (€ 9,232,753, $9,921,900)",Unverified estimation
Bologna,Alexis Saelemaekers,BEL,MF,24.0,"€ 24,615 (£ 20,796, $26,453)","€ 1,280,000 (£ 1,081,381, $1,375,545)",
Inter,Alexis Sánchez,CHI,FW,34.0,"€ 89,038 (£ 75,222, $95,685)","€ 4,630,000 (£ 3,911,559, $4,975,605)",
Lille,Alexsandro Ribeiro,BRA,DF,23.0,"€ 15,000 (£ 12,672, $16,120)","€ 780,000 (£ 658,967, $838,223)",Unverified estimation
Luton Town,Alfie Doughty,ENG,"MF,DF",23.0,"£ 7,500 (€ 8,878, $9,540)","£ 390,000 (€ 461,638, $496,095)",Unverified estimation
Tottenham Hotspur,Alfie Whiteman,ENG,GK,24.0,"£ 7,500 (€ 8,878, $9,540)","£ 390,000 (€ 461,638, $496,095)",Unverified estimation
Rayo Vallecano,Alfonso Espino,URU,DF,31.0,"€ 11,154 (£ 9,423, $11,986)","€ 580,000 (£ 490,001, $623,294)",Unverified estimation
Villarreal,Alfonso Pedraza,ESP,DF,27.0,"€ 42,308 (£ 35,743, $45,466)","€ 2,200,000 (£ 1,858,624, $2,364,218)",Unverified estimation
Fiorentina,Alfred Duncan,GHA,MF,30.0,"€ 46,346 (£ 39,155, $49,806)","€ 2,410,000 (£ 2,036,038, $2,589,894)",
Lorient,Alfred Gomis,SEN,GK,29.0,"€ 10,577 (£ 8,936, $11,366)","€ 550,000 (£ 464,656, $591,055)",Unverified estimation
Clermont Foot,Alidu Seidu,GHA,DF,23.0,"€ 5,769 (£ 4,874, $6,200)","€ 300,000 (£ 253,449, $322,393)",Unverified estimation
Nice,Aliou Badara Baldé,GUI,FW,20.0,"€ 7,692 (£ 6,499, $8,267)","€ 400,000 (£ 337,932, $429,858)",Unverified estimation
Liverpool,Alisson,BRA,GK,30.0,"£ 150,000 (€ 177,553, $190,806)","£ 7,800,000 (€ 9,232,753, $9,921,900)",
Union Berlin,Aljoscha Kemlein,GER,MF,18.0,"€ 2,885 (£ 2,437, $3,100)","€ 150,000 (£ 126,724, $161,197)",Unverified estimation
Le Havre,Alois Confais,FRA,"DF,MF",26.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
West Ham United,Alphonse Areola,FRA,GK,30.0,"£ 120,000 (€ 142,042, $152,645)","£ 6,240,000 (€ 7,386,203, $7,937,520)",
Bayern Munich,Alphonso Davies,CAN,DF,22.0,"€ 216,346 (£ 182,776, $232,495)","€ 11,250,000 (£ 9,504,327, $12,089,753)",
Manchester Utd,Altay Bayındır,TUR,GK,25.0,"£ 35,000 (€ 41,429, $44,521)","£ 1,820,000 (€ 2,154,309, $2,315,110)",Unverified estimation
Manchester Utd,Amad Diallo,CIV,MF,21.0,"£ 28,846 (€ 34,145, $36,693)","£ 1,500,000 (€ 1,775,529, $1,908,058)",Unverified estimation
RB Leipzig,Amadou Haidara,MLI,"MF,DF",25.0,"€ 67,308 (£ 56,864, $72,332)","€ 3,500,000 (£ 2,956,902, $3,761,256)",Unverified estimation
Everton,Amadou Onana,BEL,MF,21.0,"£ 100,000 (€ 118,369, $127,204)","£ 5,200,000 (€ 6,155,169, $6,614,600)",
Luton Town,Amari'i Bell,JAM,DF,29.0,"£ 10,000 (€ 11,837, $12,720)","£ 520,000 (€ 615,517, $661,460)",Unverified estimation
Mallorca,Amath,SEN,"FW,MF",27.0,"€ 8,077 (£ 6,824, $8,680)","€ 420,000 (£ 354,828, $451,351)",Unverified estimation
Burnley,Ameen Al-Dakhil,BEL,DF,21.0,"£ 15,000 (€ 17,755, $19,081)","£ 780,000 (€ 923,275, $992,190)",Unverified estimation
Wolfsburg,Amin Sarr,SWE,"MF,FW",22.0,"€ 28,846 (£ 24,370, $30,999)","€ 1,500,000 (£ 1,267,244, $1,611,967)",Unverified estimation
Leverkusen,Amine Adli,MAR,"MF,FW",23.0,"€ 21,923 (£ 18,521, $23,560)","€ 1,140,000 (£ 963,105, $1,225,095)",Unverified estimation
Rennes,Amine Gouiri,ALG,"FW,MF",23.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",Unverified estimation
Marseille,Amine Harit,MAR,MF,26.0,"€ 59,615 (£ 50,365, $64,065)","€ 3,100,000 (£ 2,618,970, $3,331,399)",Unverified estimation
Reims,Amine Salama,FRA,FW,23.0,"€ 7,885 (£ 6,661, $8,473)","€ 410,000 (£ 346,380, $440,604)",Unverified estimation
Reims,Amir Richardson,MAR,MF,21.0,"€ 6,731 (£ 5,686, $7,233)","€ 350,000 (£ 295,690, $376,126)",Unverified estimation
Napoli,Amir Rrahmani,KVX,DF,29.0,"€ 61,731 (£ 52,152, $66,339)","€ 3,210,000 (£ 2,711,901, $3,449,609)",
Werder Bremen,Amos Pieper,GER,DF,25.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Burnley,Anass Zaroury,MAR,FW,22.0,"£ 15,000 (€ 17,755, $19,081)","£ 780,000 (€ 923,275, $992,190)",Unverified estimation
Celta Vigo,Anastasios Douvikas,GRE,FW,23.0,"€ 25,000 (£ 21,121, $26,866)","€ 1,300,000 (£ 1,098,278, $1,397,038)",Unverified estimation
Real Sociedad,Ander Barrenetxea,ESP,"FW,MF",21.0,"€ 12,500 (£ 10,560, $13,433)","€ 650,000 (£ 549,139, $698,519)",Unverified estimation
Alavés,Ander Guevara,ESP,MF,26.0,"€ 17,308 (£ 14,622, $18,600)","€ 900,000 (£ 760,346, $967,180)",Unverified estimation
Athletic Club,Ander Herrera,ESP,MF,33.0,"€ 57,692 (£ 48,740, $61,999)","€ 3,000,000 (£ 2,534,487, $3,223,934)",Unverified estimation
Lazio,Anderson Lima,BRA,MF,23.0,"€ 17,885 (£ 15,109, $19,220)","€ 930,000 (£ 785,691, $999,420)",Unverified estimation
Alavés,Andoni Gorosabel,ESP,DF,26.0,"€ 19,231 (£ 16,247, $20,666)","€ 1,000,000 (£ 844,829, $1,074,645)",Unverified estimation
Napoli,Andre-Frank Zambo Anguissa,CMR,MF,27.0,"€ 66,538 (£ 56,214, $71,505)","€ 3,460,000 (£ 2,923,109, $3,718,271)",
Roma,Andrea Belotti,ITA,FW,29.0,"€ 85,385 (£ 72,135, $91,758)","€ 4,440,000 (£ 3,751,041, $4,771,422)",
Juventus,Andrea Cambiaso,ITA,MF,23.0,"€ 35,577 (£ 30,056, $38,233)","€ 1,850,000 (£ 1,562,934, $1,988,093)",
Monza,Andrea Carboni,ITA,DF,22.0,"€ 17,885 (£ 15,109, $19,220)","€ 930,000 (£ 785,691, $999,420)",Unverified estimation
Monza,Andrea Colpani,ITA,MF,24.0,"€ 17,885 (£ 15,109, $19,220)","€ 930,000 (£ 785,691, $999,420)",Unverified estimation
Sassuolo,Andrea Consigli,ITA,GK,36.0,"€ 35,577 (£ 30,056, $38,233)","€ 1,850,000 (£ 1,562,934, $1,988,093)",
Cagliari,Andrea Petagna,ITA,FW,28.0,"€ 64,038 (£ 54,102, $68,819)","€ 3,330,000 (£ 2,813,281, $3,578,567)",
Sassuolo,Andrea Pinamonti,ITA,FW,24.0,"€ 85,385 (£ 72,135, $91,758)","€ 4,440,000 (£ 3,751,041, $4,771,422)",
Barcelona,Andreas Christensen,DEN,"DF,MF",27.0,"€ 173,077 (£ 146,220, $185,996)","€ 9,000,000 (£ 7,603,462, $9,671,802)",
Mainz 05,Andreas Hanche-Olsen,NOR,DF,26.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",Unverified estimation
Darmstadt 98,Andreas Müller,GER,MF,23.0,"€ 6,154 (£ 5,199, $6,613)","€ 320,000 (£ 270,345, $343,886)",Unverified estimation
