position_group,n_frozen,n_flexible,overpaid_rate_frozen,overpaid_rate_flexible,underpaid_rate_frozen,underpaid_rate_flexible
Defenders,516,1734,0.1511627906976744,0.19896193771626297,0.19186046511627908,0.18281430219146483
Forwards,159,763,0.2389937106918239,0.20052424639580602,0.1509433962264151,0.21363040629095675
Goalkeepers,112,414,0.2767857142857143,0.20048309178743962,0.21428571428571427,0.2318840579710145
Midfielders,1149,1843,0.16449086161879894,0.22951709169831797,0.21148825065274152,0.18556701030927836
