Rk,Squad,Comp,# Pl,Weekly Wages,Annual Wages,% Estimated
69,Mainz 05,Bundesliga,55,"€ 410,577 (£ 353,224, $448,950)","€ 21,350,000 (£ 18,367,626, $23,345,385)",96%
70,Hellas Verona,Serie A,94,"€ 408,462 (£ 351,404, $446,637)","€ 21,240,000 (£ 18,272,994, $23,225,100)",50%
71,Union Berlin,Bundesliga,56,"€ 392,885 (£ 338,003, $429,604)","€ 20,430,000 (£ 17,576,141, $22,339,400)",100%
72,Cremonese,Serie A,89,"€ 391,846 (£ 337,109, $428,468)","€ 20,376,000 (£ 17,529,688, $22,280,354)",28%
73,Udinese,Serie A,80,"€ 385,231 (£ 331,418, $421,235)","€ 20,032,000 (£ 17,233,735, $21,904,205)",47%
74,Freiburg,Bundesliga,54,"€ 376,731 (£ 324,105, $411,940)","€ 19,590,000 (£ 16,853,482, $21,420,895)",96%
75,Valladolid,La Liga,49,"€ 363,750 (£ 312,938, $397,746)","€ 18,915,000 (£ 16,272,769, $20,682,808)",94%
76,Nantes,Ligue 1,54,"€ 363,462 (£ 312,690, $397,431)","€ 18,900,000 (£ 16,259,867, $20,666,403)",52%
77,Mallorca,La Liga,51,"€ 350,769 (£ 301,770, $383,552)","€ 18,240,000 (£ 15,692,061, $19,944,720)",92%
78,Osasuna,La Liga,45,"€ 339,519 (£ 292,092, $371,251)","€ 17,655,000 (£ 15,188,780, $19,305,048)",100%
79,Cádiz,La Liga,56,"€ 335,385 (£ 288,535, $366,730)","€ 17,440,000 (£ 15,003,809, $19,069,955)",98%
80,Girona,La Liga,51,"€ 332,981 (£ 286,467, $364,101)","€ 17,315,000 (£ 14,896,274, $18,933,270)",96%
81,Elche,La Liga,48,"€ 325,288 (£ 279,849, $355,690)","€ 16,915,000 (£ 14,552,148, $18,495,887)",93%
82,Troyes,Ligue 1,57,"€ 322,500 (£ 277,450, $352,641)","€ 16,770,000 (£ 14,427,406, $18,337,331)",59%
83,Lecce,Serie A,96,"€ 317,808 (£ 273,413, $347,510)","€ 16,526,000 (£ 14,217,491, $18,070,531)",45%
84,Stuttgart,Bundesliga,54,"€ 309,615 (£ 266,365, $338,552)","€ 16,100,000 (£ 13,850,995, $17,604,715)",94%
85,Bochum,Bundesliga,57,"€ 301,923 (£ 259,748, $330,141)","€ 15,700,000 (£ 13,506,876, $17,167,333)",98%
86,Angers,Ligue 1,63,"€ 298,846 (£ 257,100, $326,777)","€ 15,540,000 (£ 13,369,224, $16,992,378)",90%
87,Montpellier,Ligue 1,57,"€ 283,077 (£ 243,534, $309,533)","€ 14,720,000 (£ 12,663,770, $16,095,738)",93%
88,Almería,La Liga,57,"€ 268,558 (£ 231,043, $293,657)","€ 13,965,000 (£ 12,014,235, $15,270,179)",100%
89,Strasbourg,Ligue 1,51,"€ 262,308 (£ 225,666, $286,823)","€ 13,640,000 (£ 11,734,633, $14,914,801)",73%
90,Rayo Vallecano,La Liga,51,"€ 243,462 (£ 209,453, $266,216)","€ 12,660,000 (£ 10,891,530, $13,843,212)",84%
91,Reims,Ligue 1,48,"€ 242,500 (£ 208,625, $265,164)","€ 12,610,000 (£ 10,848,510, $13,788,538)",54%
92,Brest,Ligue 1,51,"€ 219,423 (£ 188,772, $239,931)","€ 11,410,000 (£ 9,816,144, $12,476,387)",69%
93,Lens,Ligue 1,56,"€ 215,385 (£ 185,298, $235,515)","€ 11,200,000 (£ 9,635,475, $12,246,760)",100%
94,Auxerre,Ligue 1,66,"€ 203,462 (£ 175,040, $222,477)","€ 10,580,000 (£ 9,102,086, $11,568,813)",94%
95,Lorient,Ligue 1,50,"€ 164,615 (£ 141,620, $180,000)","€ 8,560,000 (£ 7,364,257, $9,360,025)",98%
96,Toulouse,Ligue 1,51,"€ 153,077 (£ 131,694, $167,384)","€ 7,960,000 (£ 6,848,069, $8,703,946)",84%
97,Clermont Foot,Ligue 1,49,"€ 134,038 (£ 115,315, $146,566)","€ 6,970,000 (£ 5,996,361, $7,621,419)",100%
98,Ajaccio,Ligue 1,61,"€ 124,615 (£ 107,208, $136,262)","€ 6,480,000 (£ 5,574,810, $7,085,621)",98%
