Rk,Squad,Comp,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Real Madrid,La Liga,45,"€ 5,249,231 (£ 4,429,909, $5,946,736)","€ 272,960,000 (£ 230,355,271, $309,230,271)",47%
2,Bayern Munich,Bundesliga,57,"€ 5,041,731 (£ 4,254,797, $5,711,664)","€ 262,170,000 (£ 221,249,421, $297,006,520)",40%
3,Manchester City,Premier League,67,"€ 4,599,974 (£ 3,882,000, $5,211,401)","€ 239,198,665 (£ 201,864,000, $270,992,872)",55%
4,Manchester Utd,Premier League,67,"€ 4,121,072 (£ 3,477,846, $4,668,844)","€ 214,295,768 (£ 180,848,000, $242,779,887)",33%
5,Chelsea,Premier League,79,"€ 3,922,183 (£ 3,310,000, $4,443,518)","€ 203,953,524 (£ 172,120,000, $231,062,958)",61%
6,Arsenal,Premier League,52,"€ 3,860,566 (£ 3,258,000, $4,373,711)","€ 200,749,422 (£ 169,416,000, $227,432,965)",31%
7,Barcelona,La Liga,56,"€ 3,784,231 (£ 3,193,572, $4,287,070)","€ 196,780,000 (£ 166,065,762, $222,927,652)",46%
8,Paris Saint-Germain,Ligue 1,58,"€ 3,522,692 (£ 2,972,856, $3,990,779)","€ 183,180,000 (£ 154,588,504, $207,520,519)",41%
9,Liverpool,Premier League,64,"€ 2,935,120 (£ 2,477,000, $3,325,255)","€ 152,626,250 (£ 128,804,000, $172,913,278)",56%
10,Inter,Serie A,52,"€ 2,778,846 (£ 2,345,112, $3,148,093)","€ 144,500,000 (£ 121,945,841, $163,700,814)",6%
11,Atlético Madrid,La Liga,48,"€ 2,641,346 (£ 2,229,074, $2,992,322)","€ 137,350,000 (£ 115,911,845, $155,600,736)",59%
12,Aston Villa,Premier League,74,"€ 2,450,476 (£ 2,068,000, $2,776,192)","€ 127,424,741 (£ 107,536,000, $144,361,995)",74%
13,Tottenham Hotspur,Premier League,71,"€ 2,376,416 (£ 2,005,500, $2,692,289)","€ 123,573,652 (£ 104,286,000, $139,999,027)",61%
14,Newcastle United,Premier League,67,"€ 2,353,310 (£ 1,986,000, $2,666,111)","€ 122,372,117 (£ 103,272,000, $138,637,776)",60%
15,Juventus,Serie A,59,"€ 2,146,769 (£ 1,811,693, $2,432,027)","€ 111,632,000 (£ 94,208,015, $126,465,393)",14%
16,Dortmund,Bundesliga,55,"€ 2,143,269 (£ 1,808,739, $2,428,062)","€ 111,450,000 (£ 94,054,424, $126,259,209)",53%
17,West Ham United,Premier League,59,"€ 2,055,888 (£ 1,735,000, $2,329,155)","€ 106,906,152 (£ 90,220,000, $121,116,085)",56%
18,RB Leipzig,Bundesliga,49,"€ 1,970,000 (£ 1,662,514, $2,231,769)","€ 102,440,000 (£ 86,450,743, $116,051,981)",77%
19,Milan,Serie A,55,"€ 1,878,462 (£ 1,585,264, $2,128,067)","€ 97,680,000 (£ 82,433,702, $110,659,481)",10%
20,Roma,Serie A,52,"€ 1,686,731 (£ 1,423,459, $1,910,860)","€ 87,710,000 (£ 74,019,861, $99,364,694)",6%
21,Napoli,Serie A,54,"€ 1,675,962 (£ 1,414,370, $1,898,659)","€ 87,150,000 (£ 73,547,265, $98,730,280)",12%
22,Everton,Premier League,57,"€ 1,627,528 (£ 1,373,500, $1,843,859)","€ 84,631,468 (£ 71,422,000, $95,880,658)",73%
23,Crystal Palace,Premier League,66,"€ 1,590,795 (£ 1,342,500, $1,802,243)","€ 82,721,332 (£ 69,810,000, $93,716,625)",86%
24,Fulham,Premier League,53,"€ 1,558,801 (£ 1,315,500, $1,765,997)","€ 81,057,662 (£ 68,406,000, $91,831,819)",78%
25,Leverkusen,Bundesliga,52,"€ 1,500,962 (£ 1,266,685, $1,700,406)","€ 78,050,000 (£ 65,867,632, $88,421,096)",76%
26,Leicester City,Premier League,62,"€ 1,490,667 (£ 1,258,000, $1,688,806)","€ 77,514,660 (£ 65,416,000, $87,817,887)",75%
