Rk,Squad,Comp,# Pl,Weekly Wages,Annual Wages,% Estimated
27,Nottingham Forest,Premier League,65,"€ 1,446,823 (£ 1,221,000, $1,639,135)","€ 75,234,815 (£ 63,492,000, $85,235,009)",92%
28,Lazio,Serie A,59,"€ 1,420,385 (£ 1,198,685, $1,609,122)","€ 73,860,000 (£ 62,331,626, $83,674,338)",16%
29,Brighton,Premier League,79,"€ 1,411,867 (£ 1,191,500, $1,599,532)","€ 73,417,107 (£ 61,958,000, $83,175,683)",87%
30,Marseille,Ligue 1,59,"€ 1,379,808 (£ 1,164,442, $1,563,153)","€ 71,750,000 (£ 60,550,962, $81,283,970)",77%
31,Lyon,Ligue 1,53,"€ 1,320,385 (£ 1,114,294, $1,495,834)","€ 68,660,000 (£ 57,943,262, $77,783,375)",63%
32,Southampton,Premier League,72,"€ 1,276,783 (£ 1,077,500, $1,446,493)","€ 66,392,729 (£ 56,030,000, $75,217,626)",88%
33,Bournemouth,Premier League,60,"€ 1,246,567 (£ 1,052,000, $1,412,260)","€ 64,821,482 (£ 54,704,000, $73,437,533)",83%
34,Wolves,Premier League,76,"€ 1,236,495 (£ 1,043,500, $1,400,849)","€ 64,297,734 (£ 54,262,000, $72,844,168)",85%
35,Athletic Club,La Liga,51,"€ 1,151,731 (£ 971,964, $1,304,770)","€ 59,890,000 (£ 50,542,124, $67,848,040)",88%
36,Sevilla,La Liga,49,"€ 1,129,423 (£ 953,138, $1,279,498)","€ 58,730,000 (£ 49,563,178, $66,533,902)",76%
37,Fiorentina,Serie A,58,"€ 1,091,154 (£ 920,842, $1,236,144)","€ 56,740,000 (£ 47,883,785, $64,279,475)",28%
38,Atalanta,Serie A,54,"€ 1,081,538 (£ 912,727, $1,225,251)","€ 56,240,000 (£ 47,461,825, $63,713,039)",15%
39,Wolfsburg,Bundesliga,61,"€ 1,024,423 (£ 864,527, $1,160,546)","€ 53,270,000 (£ 44,955,400, $60,348,387)",93%
40,Hoffenheim,Bundesliga,65,"€ 1,020,577 (£ 861,281, $1,156,189)","€ 53,070,000 (£ 44,786,616, $60,121,812)",100%
41,Real Betis,La Liga,51,"€ 968,654 (£ 817,462, $1,097,366)","€ 50,370,000 (£ 42,508,040, $57,063,044)",76%
42,Brentford,Premier League,64,"€ 944,997 (£ 797,500, $1,070,606)","€ 49,139,858 (£ 41,470,000, $55,671,515)",97%
43,Monaco,Ligue 1,50,"€ 868,654 (£ 733,071, $984,079)","€ 45,170,000 (£ 38,119,681, $51,172,082)",84%
44,Torino,Serie A,60,"€ 851,154 (£ 718,302, $964,253)","€ 44,260,000 (£ 37,351,713, $50,141,164)",59%
45,Villarreal,La Liga,47,"€ 841,923 (£ 710,512, $953,796)","€ 43,780,000 (£ 36,946,634, $49,597,382)",91%
46,Gladbach,Bundesliga,53,"€ 803,269 (£ 677,892, $910,006)","€ 41,770,000 (£ 35,250,365, $47,320,298)",87%
47,Lille,Ligue 1,58,"€ 792,308 (£ 668,641, $897,588)","€ 41,200,000 (£ 34,769,333, $46,674,558)",86%
48,Eintracht Frankfurt,Bundesliga,53,"€ 788,654 (£ 665,558, $893,448)","€ 41,010,000 (£ 34,608,991, $46,459,308)",79%
49,Real Sociedad,La Liga,50,"€ 786,154 (£ 663,448, $890,616)","€ 40,880,000 (£ 34,499,281, $46,312,037)",100%
50,Ipswich Town,Premier League,62,"€ 779,697 (£ 658,000, $883,334)","€ 40,544,233 (£ 34,216,000, $45,933,362)",97%
51,Stuttgart,Bundesliga,66,"€ 739,423 (£ 624,011, $837,676)","€ 38,450,000 (£ 32,448,567, $43,559,144)",92%
52,Valencia,La Liga,49,"€ 721,731 (£ 609,080, $817,633)","€ 37,530,000 (£ 31,672,162, $42,516,897)",87%
53,Girona,La Liga,49,"€ 714,038 (£ 602,588, $808,918)","€ 37,130,000 (£ 31,334,597, $42,063,746)",83%
54,Bologna,Serie A,61,"€ 704,808 (£ 594,798, $798,461)","€ 36,650,000 (£ 30,929,514, $41,519,964)",46%
55,Como,Serie A,76,"€ 679,038 (£ 573,051, $769,268)","€ 35,310,000 (£ 29,798,667, $40,001,910)",89%
56,Genoa,Serie A,66,"€ 664,808 (£ 561,042, $753,146)","€ 34,570,000 (£ 29,174,169, $39,163,578)",70%
57,Celta Vigo,La Liga,50,"€ 626,731 (£ 528,908, $710,009)","€ 32,590,000 (£ 27,503,217, $36,920,479)",92%
58,Monza,Serie A,61,"€ 613,654 (£ 517,872, $695,195)","€ 31,910,000 (£ 26,929,352, $36,150,124)",62%
59,Nice,Ligue 1,55,"€ 602,500 (£ 508,459, $682,559)","€ 31,330,000 (£ 26,439,884, $35,493,056)",81%
60,Rennes,Ligue 1,54,"€ 557,500 (£ 470,483, $631,579)","€ 28,990,000 (£ 24,465,120, $32,842,122)",92%
61,Udinese,Serie A,67,"€ 533,077 (£ 449,872, $603,911)","€ 27,720,000 (£ 23,393,343, $31,403,368)",88%
62,Mainz 05,Bundesliga,50,"€ 520,385 (£ 439,161, $589,532)","€ 27,060,000 (£ 22,836,362, $30,655,667)",98%
63,Las Palmas,La Liga,53,"€ 519,423 (£ 438,349, $588,443)","€ 27,010,000 (£ 22,794,169, $30,599,022)",94%
64,Lens,Ligue 1,59,"€ 519,038 (£ 438,025, $588,007)","€ 26,990,000 (£ 22,777,289, $30,576,368)",97%
65,Augsburg,Bundesliga,59,"€ 509,231 (£ 429,748, $576,896)","€ 26,480,000 (£ 22,346,894, $29,998,593)",100%
66,Union Berlin,Bundesliga,57,"€ 499,808 (£ 421,796, $566,221)","€ 25,990,000 (£ 21,933,372, $29,443,488)",100%
67,Werder Bremen,Bundesliga,55,"€ 496,154 (£ 418,712, $562,082)","€ 25,800,000 (£ 21,773,028, $29,228,242)",89%
68,Freiburg,Bundesliga,54,"€ 476,923 (£ 402,483, $540,295)","€ 24,800,000 (£ 20,929,113, $28,095,362)",96%
69,Cagliari,Serie A,53,"€ 474,423 (£ 400,373, $537,463)","€ 24,670,000 (£ 20,819,404, $27,948,088)",72%
70,Brest,Ligue 1,50,"€ 466,346 (£ 393,557, $528,313)","€ 24,250,000 (£ 20,464,957, $27,472,284)",100%
71,Parma,Serie A,63,"€ 455,769 (£ 384,631, $516,331)","€ 23,700,000 (£ 20,000,804, $26,849,201)",82%
72,Getafe,La Liga,44,"€ 446,731 (£ 377,003, $506,091)","€ 23,230,000 (£ 19,604,166, $26,316,749)",91%
73,Mallorca,La Liga,49,"€ 432,692 (£ 365,156, $490,187)","€ 22,500,000 (£ 18,988,106, $25,489,745)",96%
74,Osasuna,La Liga,47,"€ 430,192 (£ 363,046, $487,355)","€ 22,370,000 (£ 18,878,396, $25,342,475)",96%
75,Nantes,Ligue 1,49,"€ 426,154 (£ 359,638, $482,780)","€ 22,160,000 (£ 18,701,172, $25,104,569)",86%
76,Rayo Vallecano,La Liga,50,"€ 417,308 (£ 352,173, $472,759)","€ 21,700,000 (£ 18,312,974, $24,583,444)",94%
77,Venezia,Serie A,64,"€ 413,846 (£ 349,251, $468,837)","€ 21,520,000 (£ 18,161,069, $24,379,525)",90%
78,Espanyol,La Liga,51,"€ 408,846 (£ 345,032, $463,173)","€ 21,260,000 (£ 17,941,650, $24,084,976)",82%
79,Bochum,Bundesliga,64,"€ 406,346 (£ 342,922, $460,340)","€ 21,130,000 (£ 17,831,941, $23,937,703)",97%
80,Strasbourg,Ligue 1,60,"€ 402,308 (£ 339,514, $455,765)","€ 20,920,000 (£ 17,654,717, $23,699,800)",98%
81,Empoli,Serie A,58,"€ 401,923 (£ 339,189, $455,330)","€ 20,900,000 (£ 17,637,840, $23,677,144)",71%
82,Lecce,Serie A,71,"€ 398,846 (£ 336,593, $451,844)","€ 20,740,000 (£ 17,502,813, $23,495,882)",93%
83,Hellas Verona,Serie A,72,"€ 398,654 (£ 336,430, $451,626)","€ 20,730,000 (£ 17,494,373, $23,484,554)",85%
84,Alavés,La Liga,51,"€ 367,115 (£ 309,814, $415,897)","€ 19,090,000 (£ 16,110,353, $21,626,635)",96%
85,Valladolid,La Liga,50,"€ 354,423 (£ 299,103, $401,518)","€ 18,430,000 (£ 15,553,369, $20,878,937)",88%
86,Reims,Ligue 1,50,"€ 324,808 (£ 274,110, $367,967)","€ 16,890,000 (£ 14,253,739, $19,134,305)",85%
87,Leganés,La Liga,47,"€ 320,000 (£ 270,053, $362,521)","€ 16,640,000 (£ 14,042,758, $18,851,080)",95%
88,Auxerre,Ligue 1,57,"€ 308,654 (£ 260,478, $349,667)","€ 16,050,000 (£ 13,544,847, $18,182,685)",96%
89,Heidenheim,Bundesliga,59,"€ 303,846 (£ 256,421, $344,221)","€ 15,800,000 (£ 13,333,869, $17,899,466)",97%
90,Angers,Ligue 1,62,"€ 286,154 (£ 241,490, $324,177)","€ 14,880,000 (£ 12,557,469, $16,857,221)",97%
91,Saint-Étienne,Ligue 1,54,"€ 286,154 (£ 241,490, $324,177)","€ 14,880,000 (£ 12,557,466, $16,857,222)",100%
92,Montpellier,Ligue 1,49,"€ 282,115 (£ 238,082, $319,602)","€ 14,670,000 (£ 12,380,248, $16,619,314)",91%
93,Toulouse,Ligue 1,46,"€ 269,615 (£ 227,533, $305,441)","€ 14,020,000 (£ 11,831,702, $15,882,945)",91%
94,St Pauli,Bundesliga,62,"€ 256,923 (£ 216,821, $291,062)","€ 13,360,000 (£ 11,274,714, $15,135,244)",98%
95,Holstein Kiel,Bundesliga,58,"€ 224,615 (£ 189,556, $254,462)","€ 11,680,000 (£ 9,856,937, $13,232,011)",100%
96,Le Havre,Ligue 1,60,"€ 221,346 (£ 186,798, $250,758)","€ 11,510,000 (£ 9,713,472, $13,039,419)",100%
