Rk,Squad,Comp,# Pl,Weekly Wages,Annual Wages,% Estimated
56,Luton Town,Premier League,56,"€ 559,292 (£ 472,500, $601,038)","€ 29,083,174 (£ 24,570,000, $31,253,985)",89%
57,Celta Vigo,La Liga,51,"€ 558,269 (£ 471,642, $599,941)","€ 29,030,000 (£ 24,525,387, $31,196,936)",88%
58,Monza,Serie A,62,"€ 555,385 (£ 469,205, $596,841)","€ 28,880,000 (£ 24,398,665, $31,035,744)",71%
59,Girona,La Liga,50,"€ 554,231 (£ 468,230, $595,601)","€ 28,820,000 (£ 24,347,975, $30,971,261)",96%
60,Werder Bremen,Bundesliga,51,"€ 553,462 (£ 467,580, $594,775)","€ 28,780,000 (£ 24,314,181, $30,928,276)",84%
61,Salernitana,Serie A,62,"€ 549,808 (£ 464,494, $590,848)","€ 28,590,000 (£ 24,153,664, $30,724,091)",57%
62,Mainz 05,Bundesliga,54,"€ 548,846 (£ 463,681, $589,815)","€ 28,540,000 (£ 24,111,420, $30,670,360)",96%
63,Getafe,La Liga,45,"€ 547,115 (£ 462,219, $587,955)","€ 28,450,000 (£ 24,035,385, $30,573,642)",95%
64,Stuttgart,Bundesliga,56,"€ 540,000 (£ 456,208, $580,308)","€ 28,080,000 (£ 23,722,802, $30,176,024)",91%
65,Udinese,Serie A,73,"€ 514,615 (£ 434,762, $553,029)","€ 26,760,000 (£ 22,607,627, $28,757,492)",81%
66,Nantes,Ligue 1,59,"€ 488,462 (£ 412,666, $524,923)","€ 25,400,000 (£ 21,458,654, $27,295,971)",82%
67,Lille,Ligue 1,50,"€ 486,346 (£ 410,879, $522,649)","€ 25,290,000 (£ 21,365,727, $27,177,765)",96%
68,Lens,Ligue 1,57,"€ 469,038 (£ 396,257, $504,050)","€ 24,390,000 (£ 20,605,379, $26,210,583)",100%
69,Augsburg,Bundesliga,62,"€ 468,462 (£ 395,770, $503,430)","€ 24,360,000 (£ 20,580,033, $26,178,344)",95%
70,Hellas Verona,Serie A,67,"€ 455,385 (£ 384,722, $489,377)","€ 23,680,000 (£ 20,005,550, $25,447,589)",70%
71,Nice,Ligue 1,57,"€ 444,423 (£ 375,461, $477,597)","€ 23,110,000 (£ 19,523,996, $24,835,036)",81%
72,Empoli,Serie A,59,"€ 434,615 (£ 367,176, $467,057)","€ 22,600,000 (£ 19,093,136, $24,286,971)",52%
73,Cádiz,La Liga,60,"€ 423,269 (£ 357,590, $454,864)","€ 22,010,000 (£ 18,594,687, $23,652,930)",93%
74,Köln,Bundesliga,61,"€ 420,769 (£ 355,478, $452,177)","€ 21,880,000 (£ 18,484,857, $23,513,227)",100%
75,Freiburg,Bundesliga,52,"€ 415,769 (£ 351,254, $446,804)","€ 21,620,000 (£ 18,265,202, $23,233,814)",96%
76,Lorient,Ligue 1,64,"€ 411,154 (£ 347,355, $441,844)","€ 21,380,000 (£ 18,062,447, $22,975,902)",98%
77,Mallorca,La Liga,47,"€ 396,346 (£ 334,845, $425,931)","€ 20,610,000 (£ 17,411,925, $22,148,429)",93%
78,Frosinone,Serie A,62,"€ 378,846 (£ 320,060, $407,125)","€ 19,700,000 (£ 16,643,133, $21,170,503)",67%
79,Bochum,Bundesliga,62,"€ 346,731 (£ 292,928, $372,612)","€ 18,030,000 (£ 15,232,267, $19,375,842)",94%
80,Granada,La Liga,55,"€ 338,846 (£ 286,267, $364,139)","€ 17,620,000 (£ 14,885,887, $18,935,239)",94%
81,Osasuna,La Liga,44,"€ 335,962 (£ 283,830, $361,039)","€ 17,470,000 (£ 14,759,162, $18,774,043)",95%
82,Strasbourg,Ligue 1,55,"€ 335,192 (£ 283,180, $360,213)","€ 17,430,000 (£ 14,725,369, $18,731,056)",87%
83,Rayo Vallecano,La Liga,49,"€ 333,846 (£ 282,043, $358,766)","€ 17,360,000 (£ 14,666,233, $18,655,835)",83%
84,Almería,La Liga,53,"€ 319,038 (£ 269,533, $342,853)","€ 16,590,000 (£ 14,015,715, $17,828,359)",94%
85,Las Palmas,La Liga,49,"€ 313,269 (£ 264,659, $336,653)","€ 16,290,000 (£ 13,762,265, $17,505,962)",98%
86,Reims,Ligue 1,50,"€ 304,615 (£ 257,348, $327,353)","€ 15,840,000 (£ 13,382,092, $17,022,372)",71%
87,Montpellier,Ligue 1,48,"€ 291,731 (£ 246,463, $313,507)","€ 15,170,000 (£ 12,816,055, $16,302,359)",85%
88,Lecce,Serie A,60,"€ 279,231 (£ 235,902, $300,074)","€ 14,520,000 (£ 12,266,915, $15,603,841)",73%
89,Brest,Ligue 1,47,"€ 268,654 (£ 226,967, $288,707)","€ 13,970,000 (£ 11,802,261, $15,012,785)",89%
90,Darmstadt 98,Bundesliga,60,"€ 254,423 (£ 214,944, $273,414)","€ 13,230,000 (£ 11,177,086, $14,217,548)",100%
91,Alavés,La Liga,46,"€ 240,577 (£ 203,246, $258,535)","€ 12,510,000 (£ 10,568,813, $13,443,806)",100%
92,Le Havre,Ligue 1,57,"€ 226,538 (£ 191,386, $243,448)","€ 11,780,000 (£ 9,952,084, $12,659,312)",100%
93,Metz,Ligue 1,59,"€ 225,192 (£ 190,249, $242,002)","€ 11,710,000 (£ 9,892,945, $12,584,089)",91%
94,Heidenheim,Bundesliga,56,"€ 210,962 (£ 178,226, $226,709)","€ 10,970,000 (£ 9,267,772, $11,788,851)",100%
95,Toulouse,Ligue 1,63,"€ 189,615 (£ 160,192, $203,769)","€ 9,860,000 (£ 8,330,008, $10,595,993)",97%
96,Clermont Foot,Ligue 1,51,"€ 159,615 (£ 134,848, $171,530)","€ 8,300,000 (£ 7,012,083, $8,919,550)",100%
