Rk,Squad,Comp,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Paris Saint-Germain,Ligue 1,59,"€ 5,638,269 (£ 4,763,374, $6,059,136)","€ 293,190,000 (£ 247,695,438, $315,075,078)",28%
2,Real Madrid,La Liga,47,"€ 5,491,731 (£ 4,639,574, $5,901,659)","€ 285,570,000 (£ 241,257,843, $306,886,288)",35%
3,Bayern Munich,Bundesliga,51,"€ 4,948,462 (£ 4,180,604, $5,317,838)","€ 257,320,000 (£ 217,391,419, $276,527,574)",25%
4,Manchester Utd,Premier League,59,"€ 4,683,665 (£ 3,956,846, $5,033,261)","€ 243,550,559 (£ 205,756,000, $261,729,552)",25%
5,Manchester City,Premier League,50,"€ 4,576,131 (£ 3,866,000, $4,917,701)","€ 237,958,824 (£ 201,032,000, $255,720,441)",35%
6,Barcelona,La Liga,52,"€ 4,064,231 (£ 3,433,580, $4,367,604)","€ 211,340,000 (£ 178,546,180, $227,115,409)",29%
7,Arsenal,Premier League,52,"€ 3,779,510 (£ 3,193,000, $4,061,619)","€ 196,534,543 (£ 166,036,000, $211,204,180)",12%
8,Chelsea,Premier League,63,"€ 3,574,733 (£ 3,020,000, $3,841,556)","€ 185,886,099 (£ 157,040,000, $199,760,922)",57%
9,Atlético Madrid,La Liga,53,"€ 3,286,346 (£ 2,776,401, $3,531,654)","€ 170,890,000 (£ 144,372,842, $183,646,029)",53%
10,Liverpool,Premier League,50,"€ 3,101,258 (£ 2,620,000, $3,332,741)","€ 161,265,423 (£ 136,240,000, $173,302,521)",48%
11,Tottenham Hotspur,Premier League,61,"€ 2,675,131 (£ 2,260,000, $2,874,807)","€ 139,106,817 (£ 117,520,000, $149,489,960)",39%
12,Aston Villa,Premier League,53,"€ 2,666,709 (£ 2,252,885, $2,865,756)","€ 138,668,852 (£ 117,150,000, $149,019,306)",50%
13,Dortmund,Bundesliga,59,"€ 2,434,615 (£ 2,056,834, $2,616,347)","€ 126,600,000 (£ 106,955,360, $136,050,018)",44%
14,Juventus,Serie A,59,"€ 2,338,308 (£ 1,975,470, $2,512,850)","€ 121,592,000 (£ 102,724,457, $130,668,197)",12%
15,Inter,Serie A,52,"€ 2,261,154 (£ 1,910,289, $2,429,937)","€ 117,580,000 (£ 99,335,003, $126,356,724)",4%
16,West Ham United,Premier League,49,"€ 2,169,697 (£ 1,833,000, $2,331,647)","€ 112,824,244 (£ 95,316,000, $121,245,618)",38%
17,Roma,Serie A,57,"€ 2,007,692 (£ 1,696,157, $2,157,556)","€ 104,400,000 (£ 88,200,155, $112,192,908)",9%
18,RB Leipzig,Bundesliga,52,"€ 1,943,077 (£ 1,641,568, $2,088,117)","€ 101,040,000 (£ 85,361,532, $108,582,098)",69%
19,Newcastle United,Premier League,59,"€ 1,923,490 (£ 1,625,000, $2,067,063)","€ 100,021,494 (£ 84,500,000, $107,487,250)",41%
20,Everton,Premier League,48,"€ 1,797,792 (£ 1,518,808, $1,931,982)","€ 93,485,180 (£ 78,978,000, $100,463,054)",57%
21,Milan,Serie A,57,"€ 1,653,846 (£ 1,397,217, $1,777,297)","€ 86,000,000 (£ 72,655,299, $92,419,443)",11%
22,Nottingham Forest,Premier League,74,"€ 1,640,088 (£ 1,385,577, $1,762,507)","€ 85,284,601 (£ 72,050,000, $91,650,371)",86%
23,Crystal Palace,Premier League,54,"€ 1,571,799 (£ 1,327,885, $1,689,120)","€ 81,733,540 (£ 69,050,000, $87,834,256)",65%
24,Fulham,Premier League,52,"€ 1,518,078 (£ 1,282,500, $1,631,389)","€ 78,940,040 (£ 66,690,000, $84,832,245)",69%
25,Sevilla,La Liga,57,"€ 1,496,346 (£ 1,264,157, $1,608,040)","€ 77,810,000 (£ 65,736,148, $83,618,104)",57%
26,Napoli,Serie A,52,"€ 1,451,346 (£ 1,226,139, $1,559,681)","€ 75,470,000 (£ 63,759,253, $81,103,436)",8%
27,Brighton,Premier League,55,"€ 1,420,424 (£ 1,200,000, $1,526,446)","€ 73,862,025 (£ 62,400,000, $79,375,200)",78%
28,Lazio,Serie A,58,"€ 1,415,962 (£ 1,196,246, $1,521,656)","€ 73,630,000 (£ 62,204,767, $79,126,089)",17%
29,Marseille,Ligue 1,52,"€ 1,359,423 (£ 1,148,480, $1,460,897)","€ 70,690,000 (£ 59,720,969, $75,966,634)",60%
30,Bournemouth,Premier League,61,"€ 1,248,197 (£ 1,054,500, $1,341,365)","€ 64,906,255 (£ 54,834,000, $69,750,957)",79%
31,Leverkusen,Bundesliga,54,"€ 1,237,885 (£ 1,045,801, $1,330,286)","€ 64,370,000 (£ 54,381,645, $69,174,879)",78%
32,Wolves,Premier League,51,"€ 1,225,115 (£ 1,035,000, $1,316,560)","€ 63,705,996 (£ 53,820,000, $68,461,110)",76%
33,Fiorentina,Serie A,59,"€ 1,142,115 (£ 964,892, $1,227,368)","€ 59,390,000 (£ 50,174,400, $63,823,149)",33%
34,Monaco,Ligue 1,53,"€ 1,130,192 (£ 954,819, $1,214,555)","€ 58,770,000 (£ 49,650,604, $63,156,868)",85%
35,Athletic Club,La Liga,50,"€ 1,113,654 (£ 940,847, $1,196,782)","€ 57,910,000 (£ 48,924,049, $62,232,674)",88%
36,Wolfsburg,Bundesliga,58,"€ 1,054,423 (£ 890,807, $1,133,130)","€ 54,830,000 (£ 46,321,975, $58,922,769)",97%
37,Gladbach,Bundesliga,64,"€ 990,000 (£ 836,381, $1,063,898)","€ 51,480,000 (£ 43,491,799, $55,322,707)",90%
38,Hoffenheim,Bundesliga,58,"€ 934,423 (£ 789,428, $1,004,173)","€ 48,590,000 (£ 41,050,242, $52,216,985)",100%
39,Lyon,Ligue 1,57,"€ 930,769 (£ 786,341, $1,000,246)","€ 48,400,000 (£ 40,889,728, $52,012,804)",66%
40,Real Sociedad,La Liga,51,"€ 926,538 (£ 782,767, $995,700)","€ 48,180,000 (£ 40,703,864, $51,776,379)",88%
41,Brentford,Premier League,59,"€ 909,071 (£ 768,000, $976,926)","€ 47,271,698 (£ 39,936,000, $50,800,128)",93%
42,Villarreal,La Liga,55,"€ 879,808 (£ 743,287, $945,481)","€ 45,750,000 (£ 38,650,932, $49,164,996)",80%
43,Burnley,Premier League,69,"€ 876,520 (£ 740,500, $941,944)","€ 45,579,026 (£ 38,506,000, $48,981,113)",86%
44,Atalanta,Serie A,51,"€ 874,231 (£ 738,576, $939,487)","€ 45,460,000 (£ 38,405,931, $48,853,347)",18%
45,Real Betis,La Liga,56,"€ 871,538 (£ 736,301, $936,594)","€ 45,320,000 (£ 38,287,655, $48,702,898)",82%
46,Valencia,La Liga,46,"€ 762,885 (£ 644,507, $819,830)","€ 39,670,000 (£ 33,514,370, $42,631,156)",91%
47,Torino,Serie A,53,"€ 751,538 (£ 634,922, $807,637)","€ 39,080,000 (£ 33,015,921, $41,997,114)",25%
48,Eintracht Frankfurt,Bundesliga,72,"€ 698,654 (£ 590,243, $750,805)","€ 36,330,000 (£ 30,692,640, $39,041,843)",80%
49,Union Berlin,Bundesliga,56,"€ 673,462 (£ 568,960, $723,732)","€ 35,020,000 (£ 29,585,913, $37,634,058)",96%
50,Sheffield United,Premier League,61,"€ 654,579 (£ 553,000, $703,437)","€ 34,038,085 (£ 28,756,000, $36,578,738)",66%
51,Sassuolo,Serie A,56,"€ 648,077 (£ 547,514, $696,452)","€ 33,700,000 (£ 28,470,740, $36,215,528)",50%
52,Rennes,Ligue 1,46,"€ 621,731 (£ 525,256, $668,140)","€ 32,330,000 (£ 27,313,323, $34,743,265)",89%
53,Cagliari,Serie A,61,"€ 608,846 (£ 514,371, $654,293)","€ 31,660,000 (£ 26,747,290, $34,023,255)",59%
54,Genoa,Serie A,57,"€ 595,577 (£ 503,161, $640,034)","€ 30,970,000 (£ 26,164,357, $33,281,744)",41%
55,Bologna,Serie A,54,"€ 572,692 (£ 483,827, $615,441)","€ 29,780,000 (£ 25,159,012, $32,002,921)",40%
