player,from_team,to_team,from_league,to_league,season,prev_eff,arrival_eff,cross_league,selling_value_captured
Sergio Akieme,Almería,Reims,La Liga,Ligue 1,2024-2025,-1.2400702888159945,0.0568293539010937,True,-1.2968996427170882
Sergio Gómez,Manchester City,Real Sociedad,Premier League,La Liga,2024-2025,0.1241227544733867,0.3859561803277973,True,-0.2618334258544106
Sergio Ramos,Paris Saint-Germain,Sevilla,Ligue 1,La Liga,2023-2024,0.2273156240712825,-0.2706111252414835,True,0.49792674931276604
Sergio Reguilón,Atlético Madrid,Tottenham Hotspur,La Liga,Premier League,2024-2025,0.4181321022252664,-0.5099687708297012,True,0.9281008730549676
Serhou Guirassy,Stuttgart,Dortmund,Bundesliga,Bundesliga,2024-2025,0.0328055126350079,0.0730147100667792,False,-0.0402091974317713
Sheraldo Becker,Union Berlin,Real Sociedad,Bundesliga,La Liga,2024-2025,-0.7532985285058693,-0.7461963671954077,True,-0.007102161310461597
Siebe Van Der Heyden,Mallorca,St Pauli,La Liga,Bundesliga,2024-2025,0.4500047195562544,1.102088613815667,True,-0.6520838942594125
Simone Bastoni,Spezia,Empoli,Serie A,Serie A,2023-2024,-1.3094870899995978,-0.2919168544080612,False,-1.0175702355915366
Simone Romagnoli,Lecce,Frosinone,Serie A,Serie A,2023-2024,0.0400192017845419,-0.4009553347327301,False,0.440974536517272
Simone Verdi,Hellas Verona,Como,Serie A,Serie A,2024-2025,1.0925624918988088,-0.0757477759483933,False,1.1683102678472022
Sinaly Diomande,Lyon,Auxerre,Ligue 1,Ligue 1,2024-2025,-0.2942244855967146,0.8399483727730868,False,-1.1341728583698014
Stefan Bajcetic,Liverpool,Las Palmas,Premier League,La Liga,2024-2025,1.0633851254719635,2.809135256551354,True,-1.7457501310793904
Stefano Turati,Frosinone,Monza,Serie A,Serie A,2024-2025,1.106629947525981,0.5874345317953242,False,0.5191954157306569
Stephy Mavididi,Montpellier,Leicester City,Ligue 1,Premier League,2024-2025,0.1861923582899969,-1.77587148098217,True,1.962063839272167
Steve Mounié,Brest,Augsburg,Ligue 1,Bundesliga,2024-2025,-0.1273672025298395,0.6963168363211665,True,-0.8236840388510059
Stole Dimitrievski,Rayo Vallecano,Valencia,La Liga,La Liga,2024-2025,-0.3119657343629676,0.2138052400573329,False,-0.5257709744203005
Suat Serdar,Hertha BSC,Hellas Verona,Bundesliga,Serie A,2023-2024,1.0378904867472,0.9995024035395428,True,0.0383880832076573
Sven Michel,Union Berlin,Augsburg,Bundesliga,Bundesliga,2023-2024,-0.4800325888990251,-0.2411217684556845,False,-0.2389108204433406
Sávio,Girona,Manchester City,La Liga,Premier League,2024-2025,0.8661192450834001,-0.4966001754039624,True,1.3627194204873625
Takuma Asano,Bochum,Mallorca,Bundesliga,La Liga,2024-2025,-0.752254171229664,-0.1815288943843906,True,-0.5707252768452734
Tanguy Coulibaly,Stuttgart,Montpellier,Bundesliga,Ligue 1,2024-2025,-0.6349270992918825,-0.1828664665336816,True,-0.4520606327582009
Tanguy Ndombele,Napoli,Nice,Serie A,Ligue 1,2024-2025,0.499947282312009,1.1693888598251636,True,-0.6694415775131546
Tete Morente,Elche,Lecce,La Liga,Serie A,2024-2025,-0.2729300234184695,-0.0592252862855211,True,-0.2137047371329484
Teun Koopmeiners,Atalanta,Juventus,Serie A,Serie A,2024-2025,0.0533344380634641,0.2693093666811634,False,-0.2159749286176993
Thijs Dallinga,Toulouse,Bologna,Ligue 1,Serie A,2024-2025,-1.355081581650241,0.6476486446286707,True,-2.0027302262789117
Thilo Kehrer,West Ham United,Monaco,Premier League,Ligue 1,2024-2025,0.5528929808868526,0.364309448697842,True,0.18858353218901058
Thomas Meunier,Dortmund,Lille,Bundesliga,Ligue 1,2024-2025,0.5674231006552493,0.8758702911346674,True,-0.30844719047941815
Tiago Tomás,Stuttgart,Wolfsburg,Bundesliga,Bundesliga,2023-2024,-0.6126428950146732,0.162273911258973,False,-0.7749168062736462
Tim Iroegbunam,Aston Villa,Everton,Premier League,Premier League,2024-2025,-1.4671526409490188,-0.217043005863621,False,-1.2501096350853977
Tim Kleindienst,Heidenheim,Gladbach,Bundesliga,Bundesliga,2024-2025,0.5111611179667701,-0.3092964663550699,False,0.82045758432184
Tim Skarke,Darmstadt 98,Union Berlin,Bundesliga,Bundesliga,2024-2025,-0.4706631351217076,-0.3107127329190504,False,-0.15995040220265722
Timo Werner,RB Leipzig,Tottenham Hotspur,Bundesliga,Premier League,2024-2025,0.777039630158157,0.3287245898041018,True,0.4483150403540552
Timothee Pembele,Paris Saint-Germain,Le Havre,Ligue 1,Ligue 1,2024-2025,-1.6980033884478,0.7863316460498737,False,-2.484335034497674
Timothy Castagne,Leicester City,Fulham,Premier League,Premier League,2023-2024,0.0850064494266167,0.085802070751118,False,-0.0007956213245012972
Timothy Weah,Lille,Juventus,Ligue 1,Serie A,2023-2024,0.0757131955316854,0.1094305157282402,True,-0.033717320196554795
Tom Davies,Everton,Sheffield United,Premier League,Premier League,2023-2024,-0.3479292111206842,0.7903918077847951,False,-1.1383210189054793
Tom Krauß,Schalke 04,Mainz 05,Bundesliga,Bundesliga,2023-2024,0.2793466910723836,1.1108627115277443,False,-0.8315160204553607
Tommaso Augello,Sampdoria,Cagliari,Serie A,Serie A,2023-2024,-0.738774541654184,-0.2597268183328811,False,-0.4790477233213029
Tommaso Baldanzi,Empoli,Roma,Serie A,Serie A,2024-2025,0.6059516203307371,0.2259475895086158,False,0.3800040308221213
Tommaso Pobega,Milan,Bologna,Serie A,Serie A,2024-2025,-0.3167052002855737,0.3740274538763231,False,-0.6907326541618968
Toni Lato,Valencia,Mallorca,La Liga,La Liga,2023-2024,0.4994283666846346,0.9571223003188116,False,-0.45769393363417704
Tosin Adarabioyo,Fulham,Chelsea,Premier League,Premier League,2024-2025,-0.0980747232801242,-0.3726433779460851,False,0.2745686546659609
Tyler Adams,Leeds United,Bournemouth,Premier League,Premier League,2023-2024,0.4228865589487665,0.9272353966566717,False,-0.5043488377079052
Unai Núñez,Celta Vigo,Athletic Club,La Liga,La Liga,2024-2025,0.392080685264105,0.2393187877260238,False,0.1527618975380812
Valentin Gendrey,Lecce,Hoffenheim,Serie A,Bundesliga,2024-2025,-1.8043988704313083,0.6174747257594095,True,-2.421873596190718
Valentín Castellanos,Girona,Lazio,La Liga,Serie A,2023-2024,0.1478310629909689,-0.4026836638637601,True,0.550514726854729
Valery Fernández,Girona,Mallorca,La Liga,La Liga,2024-2025,-0.4123671146067043,-0.171212273532765,False,-0.24115484107393928
Vicente Guaita,Crystal Palace,Celta Vigo,Premier League,La Liga,2023-2024,0.1216837646518147,0.1746505735575176,True,-0.05296680890570289
Viktor Kovalenko,Spezia,Empoli,Serie A,Serie A,2023-2024,1.6596696727110185,-0.3180275302707898,False,1.9776972029818083
Vinicius Souza,Espanyol,Sheffield United,La Liga,Premier League,2023-2024,-0.4598375448813971,0.6077274973466711,True,-1.0675650422280683
Vitinha,Paris Saint-Germain,Marseille,Ligue 1,Ligue 1,2022-2023,0.2177512225059725,1.0492215737917832,False,-0.8314703512858106
Vitinha,Marseille,Paris Saint-Germain,Ligue 1,Ligue 1,2023-2024,1.0492215737917832,-0.181774027917374,False,1.2309956017091572
Waldemar Anton,Stuttgart,Dortmund,Bundesliga,Bundesliga,2024-2025,-0.6885445671870816,-0.1964120835023113,False,-0.49213248368477025
Wataru Endo,Stuttgart,Liverpool,Bundesliga,Premier League,2023-2024,-0.7908790956101459,-0.8743306067009513,True,0.0834515110908054
Wilfried Singo,Torino,Monaco,Serie A,Ligue 1,2023-2024,-1.093504265903169,0.144861848252642,True,-1.238366114155811
William Osula,Sheffield United,Newcastle United,Premier League,Premier League,2024-2025,0.356432789303966,-0.6436890529354145,False,1.0001218422393805
Willian Pacho,Eintracht Frankfurt,Paris Saint-Germain,Bundesliga,Ligue 1,2024-2025,0.1303466953071623,-0.1138182442147197,True,0.244164939521882
Wilson Odobert,Troyes,Burnley,Ligue 1,Premier League,2023-2024,-0.8615385212807567,0.0354893826673912,True,-0.8970279039481479
